f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,target
60,77,76,71,94,0,2,1,2,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,77,76,71,94,50,12,44,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,85,76,71,94,0,5,1,31,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,100,76,71,94,0,0,0,6,1,0,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,77,76,71,94,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,77,93,200,105,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,36,47,23,0,0,0,0
62,131,76,71,94,0,0,0,0,0,11,79,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,152,106,71,94,0,0,1,1,0,0,0,38,22,5,45,0,0,0,0,0,0,0,0,0,0,0
64,78,76,71,94,0,2,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,106,76,71,94,0,0,24,55,0,0,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,79,76,71,94,0,3,1,2,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,77,76,71,94,0,19,44,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,77,76,71,94,19,53,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,132,76,71,94,0,0,7,0,0,0,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,77,76,71,94,46,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,115,190,72,94,0,0,0,1,3,1,0,0,0,37,21,0,70,2,0,0,0,0,0,0,0,0
110,77,76,71,95,32,64,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,77,76,72,95,0,0,31,75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,78,159,79,94,37,9,0,2,1,0,2,0,0,0,0,0,50,21,0,0,0,0,0,0,0,0
60,78,76,73,95,1,3,3,0,39,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
21,167,114,71,94,0,5,0,0,0,0,0,13,38,27,47,0,0,0,0,0,0,0,0,0,0,0
15,110,89,71,94,0,0,1,2,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0
61,94,107,71,94,2,1,10,39,0,0,0,0,0,0,29,14,0,0,0,0,0,0,0,0,0,0
42,94,76,71,94,2,1,0,0,0,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,89,76,71,94,19,44,0,0,9,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,89,79,71,94,0,46,0,0,0,42,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
81,96,76,71,94,1,2,0,5,6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,77,76,71,94,0,0,2,24,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,100,76,71,94,0,0,28,20,19,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,85,76,71,94,15,33,0,0,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,77,76,71,94,1,2,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,120,76,71,94,0,0,0,0,60,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
127,99,80,78,94,0,62,5,0,0,66,12,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
163,78,76,71,94,5,42,37,62,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,80,84,79,94,0,0,41,5,0,0,4,2,0,0,0,0,0,2,9,1,0,0,0,0,0,1
76,78,76,71,94,0,0,21,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,80,90,123,94,0,0,50,12,30,15,0,0,0,0,0,0,0,0,0,43,3,0,0,0,0,0
94,97,79,94,94,0,0,41,5,0,39,22,0,0,0,0,0,0,0,0,8,9,0,0,0,0,1
16,132,80,71,94,0,2,1,0,0,0,0,0,49,10,0,0,0,0,0,0,0,0,0,0,0,0
84,123,76,71,94,0,0,0,0,1,57,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,76,71,94,0,63,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,82,76,71,94,0,1,6,41,41,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,77,76,71,94,0,0,11,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,109,108,77,94,0,0,0,0,2,0,0,0,0,14,44,0,0,0,0,0,3,1,0,0,0,0
104,77,77,72,94,42,5,33,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,152,154,71,94,0,0,0,0,49,13,4,2,16,58,0,38,19,0,0,0,0,0,0,0,0,0
64,82,76,71,94,6,1,0,0,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,109,78,75,94,50,12,0,0,0,0,2,43,0,0,0,0,0,1,0,0,2,0,0,0,0,1
57,97,79,71,94,0,0,0,1,2,52,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1
64,92,76,71,94,0,0,2,3,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,77,76,71,94,0,1,8,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,110,84,71,94,0,0,3,0,0,0,23,30,0,0,0,1,5,0,0,0,0,0,0,0,0,0
77,77,76,71,94,0,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,114,78,71,94,56,25,0,0,0,1,35,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0
147,81,76,71,94,0,0,0,30,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,77,76,71,94,4,24,44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,89,77,71,94,8,58,0,0,0,0,0,9,4,3,0,0,0,0,0,0,0,0,0,0,0,1
117,77,76,71,94,0,51,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,77,76,71,94,2,2,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,107,76,72,95,51,13,0,0,0,0,59,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,77,76,71,94,34,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,82,76,71,94,0,24,55,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,77,76,71,94,16,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,77,76,71,94,0,9,37,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,129,102,71,94,0,2,7,1,0,0,0,0,0,66,8,0,0,0,0,0,0,0,0,0,0,0
156,94,76,71,94,9,37,0,31,31,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,102,76,71,94,0,0,46,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,77,76,71,94,0,25,40,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,77,78,76,94,0,0,47,33,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1
71,86,76,71,94,0,2,1,0,43,18,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,109,76,71,94,0,0,0,0,3,5,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,76,71,94,0,2,63,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,112,86,71,94,0,3,5,2,0,0,0,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0
76,82,76,71,94,1,0,62,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,117,99,71,94,0,0,0,8,12,0,1,0,0,46,12,0,0,0,0,0,0,0,0,0,0,0
83,77,76,71,95,0,7,60,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57,84,79,72,94,0,0,0,5,20,31,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
79,77,79,76,94,19,44,3,2,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1
95,96,76,71,94,0,0,0,43,19,13,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,77,76,108,118,9,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0,0
40,112,76,72,106,0,17,4,0,0,0,0,31,13,0,0,0,0,0,0,0,0,0,0,2,5,0
17,80,125,72,94,0,0,0,1,1,2,1,0,0,0,0,11,31,0,0,0,0,1,0,0,0,0
56,77,76,72,171,0,0,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,0
149,77,76,71,94,0,47,38,56,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,110,77,71,94,42,5,0,0,0,17,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,143,86,71,94,0,2,0,0,0,24,37,0,19,32,0,0,0,0,0,0,0,0,0,0,0,0
200,77,76,71,94,0,81,24,105,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,79,76,71,94,0,0,0,1,52,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,125,76,71,94,1,0,1,2,0,0,35,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,140,90,71,94,44,19,1,0,0,0,0,0,32,42,0,0,0,0,0,0,0,0,0,0,0,0
18,77,84,88,94,0,2,3,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,1
31,147,82,71,94,2,2,4,5,2,5,0,0,58,18,0,0,0,0,0,0,0,0,0,0,0,0
100,98,76,71,94,18,28,0,2,5,36,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,95,86,87,95,0,1,6,17,0,14,31,0,0,0,0,0,0,0,13,5,0,0,0,1,0,1
20,78,80,93,94,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,11,7,0,0,0,0,1
56,82,79,71,94,0,1,1,0,36,10,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1
63,78,76,71,94,1,2,0,5,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,147,87,72,94,0,0,0,0,0,13,35,0,26,33,0,0,0,0,0,0,1,0,0,0,0,0
98,77,76,71,94,55,24,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,90,92,152,95,0,42,5,0,0,38,8,0,0,0,0,0,0,0,0,50,18,0,0,0,1,0
73,77,90,82,94,6,56,0,0,0,2,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,1
80,105,78,71,94,0,0,0,0,21,46,33,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
59,77,76,74,96,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
71,77,79,79,94,0,0,0,6,56,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
132,77,76,71,94,33,32,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,110,76,71,94,0,0,0,2,31,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,87,87,71,94,1,25,61,55,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0
86,84,76,71,94,0,0,0,9,46,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,77,76,71,94,37,25,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,77,76,71,94,23,48,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,77,76,71,94,0,5,41,63,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,120,99,71,95,0,1,1,0,0,1,6,0,0,46,12,0,0,0,0,0,0,0,0,0,1,0
76,79,76,71,94,31,33,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
65,77,76,71,94,0,7,0,32,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,102,98,71,94,0,3,2,0,0,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,1
114,102,76,71,94,0,0,1,25,55,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,140,124,71,94,0,0,0,34,54,0,0,0,0,52,51,0,0,0,0,0,0,0,0,0,0,0
106,77,76,76,97,0,0,0,38,61,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
141,100,76,71,94,8,71,0,8,12,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,156,123,71,94,9,37,0,0,0,2,0,0,0,88,30,0,0,0,0,0,0,0,0,0,0,0
39,96,76,71,94,0,0,0,0,0,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,77,76,71,94,19,2,0,28,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,140,104,72,94,0,0,2,0,0,0,0,0,20,46,21,0,0,0,0,0,0,1,0,0,0,0
66,77,76,71,94,0,3,7,44,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,91,76,71,95,0,0,24,55,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,90,77,74,94,0,0,2,1,0,35,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
83,108,77,74,94,62,0,0,0,0,0,5,39,0,0,0,1,0,0,0,0,1,1,0,0,0,1
71,77,76,76,156,0,44,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0
115,78,78,71,94,31,31,23,23,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
98,114,76,71,94,3,2,2,0,0,91,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,92,76,71,94,2,0,0,0,1,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,113,80,78,94,0,2,2,1,0,0,35,25,0,0,0,0,0,0,4,4,0,0,0,0,0,0
89,77,76,72,96,0,1,2,47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
74,133,79,71,94,0,1,2,19,43,0,0,0,51,8,0,0,0,0,0,0,0,0,0,0,0,0
71,83,76,71,94,2,1,0,2,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,132,76,71,94,1,2,0,0,0,1,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,146,76,79,122,0,0,0,0,0,0,0,18,57,0,0,0,0,0,0,0,4,0,0,5,10,0
114,77,76,71,94,0,19,53,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,2,1,44,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,118,79,71,94,0,25,38,0,0,0,0,0,36,8,0,0,0,0,0,0,0,0,0,0,0,1
52,102,76,76,111,0,0,0,0,2,28,38,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0
113,93,76,75,99,14,32,0,0,10,68,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
19,98,121,71,94,3,2,0,0,1,0,0,0,0,0,30,28,0,0,0,0,0,0,0,0,0,0
122,79,76,71,94,75,35,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,89,76,71,94,0,6,56,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,113,86,71,94,0,0,31,31,1,1,0,0,14,30,1,0,0,0,0,0,0,0,0,0,0,1
119,77,76,71,94,0,2,55,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,120,76,71,94,0,3,0,0,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
131,78,76,71,94,0,23,23,24,55,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,84,76,71,94,0,3,0,0,53,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
54,88,76,71,94,0,0,2,6,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,96,76,71,94,25,37,1,2,0,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,83,76,71,94,62,0,1,1,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,12,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,86,76,71,94,1,2,0,1,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,102,76,71,94,0,0,19,44,42,7,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,77,76,71,94,0,2,3,57,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,80,76,71,94,0,0,1,50,82,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,77,76,71,94,0,2,1,96,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,133,76,71,94,0,1,4,17,0,29,16,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0
72,77,98,145,94,6,56,0,0,0,1,0,0,0,0,0,0,0,0,2,66,0,0,0,0,0,0
108,101,76,71,94,0,0,0,0,33,91,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,100,76,71,94,16,63,0,0,0,76,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,77,76,71,94,2,3,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,85,76,71,94,0,1,2,9,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,78,81,74,94,0,38,16,0,0,2,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,1
62,106,76,71,94,0,0,0,0,0,45,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,0,0,47,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,85,76,74,94,2,0,0,0,13,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
83,77,76,71,94,0,2,5,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,90,76,72,94,8,71,14,32,0,51,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,77,92,112,94,6,56,0,0,0,0,0,0,0,0,0,0,0,0,11,29,0,1,0,0,0,0
71,79,97,71,94,0,0,0,25,37,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,1
19,79,96,149,94,0,0,0,1,6,0,0,0,1,1,0,0,0,0,0,60,8,0,0,0,0,0
73,79,76,71,94,1,2,1,0,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,155,76,71,94,0,0,0,0,1,8,38,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0
121,77,76,71,94,1,2,5,96,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,117,76,71,94,0,2,0,0,0,0,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,78,76,71,94,7,56,5,41,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,134,80,71,94,0,0,0,0,1,2,1,2,47,13,0,0,0,0,0,0,0,0,0,0,0,0
62,80,76,71,94,0,42,7,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,77,76,71,94,0,0,0,22,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,77,76,71,94,0,0,15,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,78,76,132,101,2,1,28,18,42,5,1,0,0,0,0,0,0,0,0,0,30,15,0,0,0,0
74,81,77,71,94,0,31,31,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
64,77,76,77,99,0,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1
92,87,79,71,94,0,21,0,54,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
83,98,76,71,94,14,32,1,2,2,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,124,111,71,94,12,8,0,0,0,0,0,1,1,37,37,0,0,0,0,0,0,0,0,0,0,0
101,93,76,71,94,0,0,3,41,5,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,77,76,89,141,0,1,2,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0
43,92,77,78,99,0,0,0,0,0,36,9,0,0,2,0,0,0,0,0,0,0,4,4,0,0,1
71,98,76,71,94,1,2,0,1,1,67,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,102,76,77,94,1,1,0,1,2,0,31,14,0,0,0,0,0,0,0,0,4,1,0,0,0,0
91,85,76,71,94,0,0,23,23,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,77,76,71,94,0,44,19,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,81,78,72,94,6,56,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1
66,77,76,71,94,0,6,40,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,90,76,71,94,0,0,0,0,1,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,108,76,72,97,0,1,3,1,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,2,0,0
15,77,138,160,94,0,0,0,2,1,0,0,0,0,0,1,0,0,14,57,38,0,0,0,0,0,0
156,81,76,71,94,37,11,1,25,66,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,106,76,71,94,0,0,0,1,103,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,77,162,75,94,0,0,95,14,0,0,0,0,0,0,0,0,60,11,0,0,0,0,0,0,0,0
16,149,78,71,94,0,0,0,2,1,0,0,0,71,4,0,0,0,0,0,0,0,0,0,0,0,0
55,88,76,71,94,0,0,6,5,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,77,77,72,94,17,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,108,118,71,94,2,1,0,2,17,30,0,0,0,0,41,16,0,0,0,0,0,0,0,0,0,0
77,77,76,71,98,0,4,2,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
59,77,76,72,94,2,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
57,119,86,71,94,0,0,0,18,28,1,0,0,20,31,0,0,0,0,0,0,0,0,0,0,0,0
89,77,96,75,94,0,0,47,32,0,2,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,1
19,92,128,76,94,0,1,2,2,2,0,0,0,0,0,21,22,4,15,0,0,0,0,0,0,0,0
90,77,76,71,94,0,0,0,73,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,104,76,71,94,0,2,52,12,0,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,77,76,71,94,0,19,27,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,102,76,71,94,0,0,56,9,0,0,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,85,77,71,94,0,0,0,0,48,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
56,92,96,113,94,0,0,0,5,41,0,0,0,4,15,0,0,0,0,6,34,0,0,0,0,0,0
74,77,77,71,94,0,0,0,32,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
63,85,80,71,94,0,2,1,0,42,12,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1
98,88,76,74,94,2,1,46,0,9,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
49,92,76,71,94,6,3,0,0,0,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,77,76,71,94,0,3,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,77,76,71,94,0,0,26,58,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,94,76,71,94,0,0,5,41,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,77,83,71,94,0,1,30,20,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1
118,106,78,72,94,0,0,2,40,39,2,59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
27,116,100,71,94,0,8,6,0,0,0,0,0,0,43,16,0,0,0,0,0,0,0,0,0,0,0
61,77,76,71,94,28,18,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,77,100,103,94,20,47,0,0,0,1,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0
75,97,76,71,94,31,31,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,1
14,117,100,94,143,0,0,0,0,0,0,2,0,0,42,17,0,0,0,0,0,0,3,15,23,0,0
16,77,107,95,94,0,3,0,0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0
59,77,76,71,94,0,2,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,77,76,71,94,2,0,2,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
