f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
74,81,95,71,94,0,22,44,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0
87,84,76,71,94,0,2,3,1,51,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,77,81,77,94,0,0,0,8,49,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
62,78,76,71,94,0,14,35,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,78,84,71,94,0,44,82,16,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
118,81,76,71,94,0,0,5,41,59,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,78,77,71,94,2,3,12,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
130,77,79,71,94,45,80,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
117,77,76,71,94,0,5,56,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,96,76,75,94,0,2,4,0,0,27,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0
52,87,76,71,94,0,2,1,1,9,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,81,89,76,94,0,0,0,23,54,14,0,0,0,0,0,2,6,0,4,2,0,0,0,0,0
64,77,79,74,94,16,38,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
104,77,77,72,94,42,5,33,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,79,76,71,94,42,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,89,123,71,94,0,2,2,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0
112,82,76,71,94,0,0,0,40,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,115,76,71,94,12,51,2,2,7,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,80,95,71,94,0,0,0,39,17,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0
76,77,76,72,95,0,2,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,112,76,71,94,0,0,5,41,20,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,77,76,72,94,0,51,13,0,59,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,77,76,71,94,0,8,12,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,77,78,71,94,2,1,3,127,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126,82,76,71,94,0,0,31,31,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,82,76,71,94,0,2,0,0,75,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,107,76,71,94,2,1,1,1,47,28,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,77,79,83,94,0,32,14,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0
113,79,76,94,97,42,5,0,0,54,8,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0
63,79,76,71,94,0,5,41,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,92,153,85,94,0,0,0,0,0,29,16,0,0,0,0,0,33,38,0,0,0,0,0,0,0
81,94,78,71,94,2,1,0,0,39,39,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0
154,77,76,71,94,0,79,45,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,77,84,129,94,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0
116,77,76,71,94,0,37,62,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,89,76,71,94,44,19,21,0,0,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,134,130,71,94,0,0,0,0,0,0,0,0,0,46,40,15,0,0,0,0,0,0,0,0,0
104,90,76,71,94,0,0,0,6,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,96,81,165,94,0,1,1,0,0,13,32,0,0,0,0,0,0,0,0,13,53,0,0,0,0
16,119,96,71,94,0,0,0,3,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0
76,77,76,72,102,26,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
61,77,147,72,94,0,46,6,0,0,0,0,0,0,0,0,2,54,0,1,0,0,0,0,0,0
65,77,76,71,94,1,3,2,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,113,76,71,94,0,0,0,14,32,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,124,80,71,94,0,0,5,0,0,0,0,0,38,13,0,0,0,0,0,0,0,0,0,0,0
63,93,76,71,94,0,0,1,5,2,58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,77,76,71,94,0,2,5,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,77,79,73,94,0,0,0,54,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
59,95,78,71,94,0,1,1,18,28,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0
58,78,83,73,97,0,0,0,9,37,2,0,0,0,1,0,0,3,2,0,0,0,0,0,2,0
47,92,76,71,94,0,0,0,5,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,77,79,71,94,0,1,1,23,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
16,114,107,71,95,0,0,0,0,0,2,1,4,0,20,38,0,0,0,0,0,0,0,0,1,0
73,105,77,71,94,0,0,41,5,0,0,27,18,0,2,0,0,0,0,0,0,0,0,0,0,0
63,90,76,71,94,1,2,0,0,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,79,76,71,94,0,1,45,11,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,95,76,71,94,0,19,34,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,88,80,93,94,0,2,0,0,9,45,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0
142,102,76,71,94,59,7,0,0,20,53,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,82,83,72,94,0,0,1,2,40,22,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
101,91,76,71,94,23,23,0,0,4,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,78,76,72,94,0,0,0,23,65,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,108,76,71,94,0,0,0,43,19,0,10,35,1,0,0,0,0,0,0,0,0,0,0,0,0
69,81,76,71,94,0,1,1,0,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,85,76,74,94,2,0,0,0,13,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
98,77,76,71,94,8,71,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,110,95,108,94,0,0,0,0,0,0,20,33,0,0,0,0,0,0,19,21,0,0,0,0,0
74,92,104,98,94,2,1,0,0,16,62,0,0,0,0,0,0,0,8,32,0,0,0,0,0,0
84,102,76,71,94,37,9,0,0,2,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,5,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,154,76,71,94,0,0,0,2,19,44,0,30,46,0,0,0,0,0,0,0,0,0,0,0,0
37,100,77,71,94,0,0,0,0,2,2,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0
60,78,159,79,94,37,9,0,2,1,0,2,0,0,0,0,0,50,21,0,0,0,0,0,0,0
102,78,76,71,94,28,19,0,0,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,103,76,72,94,2,0,0,0,0,0,27,18,0,0,0,0,0,0,0,0,1,1,0,0,0
66,77,76,71,94,0,0,38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,80,76,71,94,0,1,2,0,39,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,93,76,71,94,0,0,0,0,42,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,151,165,117,94,0,2,0,0,0,0,0,39,21,0,44,14,0,14,55,0,0,0,0,0,0
92,84,76,71,94,0,0,23,23,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,82,76,71,94,0,5,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,80,76,71,94,0,0,2,24,91,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,119,76,71,94,42,5,0,0,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,0,0
34,140,100,71,94,0,0,0,0,0,0,30,31,1,13,32,0,0,0,0,0,0,0,0,0,0
77,77,76,71,94,19,44,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,81,76,75,99,0,3,0,0,43,18,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
15,77,76,92,148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,0
74,79,76,71,94,3,1,1,0,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,107,92,74,103,0,18,28,0,0,0,0,0,0,39,5,0,0,0,0,0,0,0,2,6,0
15,117,93,73,94,0,0,0,0,0,0,1,8,10,34,0,0,1,6,0,0,0,0,0,0,0
88,77,81,72,94,0,0,55,25,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
131,77,76,71,94,0,106,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,116,76,71,94,0,0,39,39,1,3,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,80,96,1,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
59,84,80,73,94,0,23,23,0,2,1,0,0,2,6,0,0,0,0,2,1,0,0,0,0,0
58,77,76,71,94,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,81,73,94,0,19,44,3,3,0,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0
32,122,78,71,94,0,1,4,0,0,0,0,59,1,0,3,0,0,0,0,0,0,0,0,0,0
44,96,76,71,94,1,1,2,3,1,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,97,89,115,94,0,0,0,2,0,39,22,0,0,0,0,0,0,0,0,40,0,0,0,0,0
77,77,76,71,94,0,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,90,76,71,94,3,2,25,37,0,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,101,118,71,94,1,44,5,0,0,0,0,0,0,0,41,16,0,0,0,0,0,0,0,0,0
78,77,76,71,94,24,24,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,95,76,71,94,0,0,5,0,0,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,93,80,73,95,0,0,19,44,0,0,0,0,8,12,0,0,0,0,0,0,0,1,1,0,0
76,77,76,71,94,2,0,44,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,95,78,71,94,0,0,0,2,3,16,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0
59,96,76,71,94,15,6,2,1,0,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,91,83,71,94,0,0,0,0,0,47,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0
119,91,76,71,94,0,0,2,57,10,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,79,97,71,94,0,0,0,25,37,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0
36,102,76,71,94,1,2,0,1,1,0,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0
56,166,78,71,94,0,0,0,0,0,0,52,79,6,0,0,1,1,0,0,0,0,0,0,0,0
81,96,76,71,94,0,1,0,28,18,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,92,76,71,94,0,0,0,2,2,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,77,76,71,94,2,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,140,108,71,94,0,19,44,0,0,0,0,0,29,20,40,0,0,0,0,0,0,0,0,0,0
77,77,76,71,94,0,3,0,38,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,156,124,82,94,0,0,0,0,1,0,16,44,28,16,0,0,12,29,0,0,0,0,0,0,0
128,79,76,73,102,50,12,0,0,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
81,77,76,71,94,50,12,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,77,78,72,94,0,0,0,47,31,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
61,149,77,71,94,0,17,4,0,0,1,60,0,42,2,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,2,0,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,95,96,71,94,0,19,44,1,1,27,19,0,0,0,0,13,6,0,0,0,0,0,0,0,0
82,77,76,71,94,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,95,76,71,94,0,0,0,0,43,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,6,56,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,82,78,75,94,0,0,1,1,24,22,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
74,104,99,71,94,0,2,1,12,50,0,0,0,0,23,20,0,2,0,0,0,0,0,0,0,0
132,77,76,71,94,32,32,44,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,102,85,85,108,0,0,1,2,0,0,32,13,0,0,0,3,4,0,0,0,0,3,13,0,0
64,78,76,71,94,9,37,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,113,84,71,94,0,3,0,1,0,0,0,0,19,25,0,0,0,0,0,0,0,0,0,0,0
84,77,76,71,94,1,9,9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,116,76,71,94,2,1,0,0,62,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0
82,168,76,71,94,0,0,37,25,0,0,0,45,59,0,0,0,0,0,0,0,0,0,0,0,0
60,77,76,89,141,0,1,2,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0
72,77,79,71,94,31,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
61,81,76,77,94,0,3,0,32,14,0,3,4,0,0,0,0,0,0,0,0,3,1,0,0,0
72,77,127,73,94,50,12,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,0,0,0
59,77,76,71,94,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,78,78,71,94,0,0,19,44,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
49,87,76,71,94,0,0,2,1,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,100,76,71,94,37,9,0,0,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0
133,91,76,71,94,0,0,24,55,9,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,71,94,0,0,37,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,82,121,0,2,14,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4
56,79,81,71,94,0,5,41,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
74,77,76,71,94,6,56,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,71,94,31,31,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,133,76,71,94,0,0,0,0,28,53,10,22,22,0,0,0,0,0,0,0,0,0,0,0,0
72,80,78,71,94,31,31,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0
76,78,76,71,94,37,25,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,89,76,72,94,0,23,23,0,11,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,81,76,71,94,25,37,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
80,79,76,71,94,0,6,56,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,105,76,71,94,0,0,5,5,0,0,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0
80,77,86,72,94,0,0,45,26,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
63,85,78,80,94,0,0,0,0,30,32,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
45,87,78,72,94,0,0,0,0,1,44,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
97,111,77,72,94,0,0,0,32,15,14,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,77,92,81,110,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,1,7
135,77,76,71,94,0,0,6,93,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,81,117,84,94,0,0,0,0,30,16,1,0,0,0,0,0,6,35,0,0,0,0,0,0,0
88,79,76,72,95,0,0,19,2,52,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,85,76,71,94,0,57,63,24,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,71,94,31,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,37,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,77,76,71,94,1,47,20,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,78,76,74,94,2,0,0,0,55,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
82,124,76,71,94,0,0,0,0,6,40,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,77,76,74,94,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
149,77,76,71,94,0,40,65,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,119,76,71,94,0,0,0,0,6,40,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0
87,78,78,72,100,0,0,16,63,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2
15,107,99,74,94,0,2,0,0,0,0,0,0,0,39,5,0,0,8,0,0,0,0,0,0,0
131,91,76,71,95,0,0,24,55,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,81,79,71,94,0,0,0,35,58,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
56,77,83,76,94,18,28,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,0,0,0,0
78,77,81,77,94,2,27,37,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
93,79,76,71,95,0,0,39,39,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,83,76,74,95,0,3,0,0,22,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
92,104,76,71,94,2,0,12,50,1,1,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0
95,119,98,71,95,0,27,56,0,0,4,2,0,0,47,11,0,0,0,0,0,0,0,0,0,1
48,141,107,71,94,0,0,3,2,0,1,61,2,0,19,39,0,0,0,0,0,0,0,0,0,0
44,77,76,71,94,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,92,111,71,94,0,1,50,12,0,0,2,1,0,0,16,26,0,0,0,0,0,0,0,0,0
76,77,76,71,94,0,2,3,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,0,0,0,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,77,76,71,94,0,0,5,41,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,77,76,71,94,0,19,106,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,77,96,12,50,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
136,77,76,71,94,0,37,44,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,77,95,160,94,6,56,0,0,0,0,0,0,0,0,0,0,0,0,3,53,20,0,0,0,0
15,119,118,71,94,0,0,0,0,0,2,0,0,0,19,56,0,0,0,0,0,0,0,0,0,0
116,77,78,71,94,0,0,13,92,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,97,78,71,94,0,0,6,2,3,39,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0
71,77,76,72,100,0,0,0,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
61,109,126,71,94,0,4,17,0,0,32,14,0,0,0,14,43,0,0,0,0,0,0,0,0,0
130,98,102,71,94,0,0,45,80,0,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0
97,79,76,71,94,18,28,0,0,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,77,76,72,96,0,0,0,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
61,77,76,71,94,0,2,1,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,162,82,71,94,0,0,23,23,2,0,4,40,41,18,0,0,0,0,0,0,0,0,0,0,0
88,84,78,71,94,0,0,39,40,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0
53,95,77,73,94,0,0,0,0,0,46,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0
107,77,88,85,96,5,69,27,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,1,1,0
20,122,76,71,94,0,1,2,0,0,0,7,7,38,0,0,0,0,0,0,0,0,0,0,0,0
74,150,76,71,94,0,0,0,0,0,40,41,59,0,0,0,0,0,0,0,0,0,0,0,0,0
52,123,77,72,96,0,16,8,0,0,0,25,20,19,1,0,0,0,0,0,0,0,0,2,0,0
39,118,76,75,96,0,0,3,5,2,0,14,47,0,0,0,0,0,0,0,0,0,4,0,0,0
59,77,76,71,94,23,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,77,78,71,94,0,6,3,12,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,77,79,72,94,0,62,6,56,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
22,127,87,71,94,0,0,0,4,5,0,0,0,27,32,0,0,0,0,0,0,0,0,0,0,0
44,110,81,71,94,0,0,0,0,0,24,29,1,6,5,5,0,0,0,0,0,0,0,0,0,0
89,77,77,71,94,6,62,7,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,98,77,71,94,0,0,0,0,0,48,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0
119,80,76,71,94,0,0,37,33,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,139,76,71,94,0,0,0,0,0,20,25,56,4,0,0,0,0,0,0,0,0,0,0,0,0
56,77,76,89,140,0,0,0,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,0
76,77,98,115,94,4,17,0,18,28,0,0,0,0,0,0,0,0,0,22,25,0,0,0,0,0
61,77,76,71,94,19,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,87,78,107,124,0,0,0,0,2,43,0,0,0,0,0,0,0,0,2,2,0,12,25,0,0
58,78,76,85,147,42,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,36,0
78,115,78,71,94,0,0,0,23,23,0,33,28,0,1,1,0,0,0,0,0,0,0,0,0,0
86,107,76,71,94,0,0,28,20,1,0,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0
