lineNo,assgNo,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,target
10588.0,324.0,1,0,99.0,80.0,80.0,139.0,96.566,639.5782,120.9339,53.0589,49.0026,80.0,80.0,0.0,0,0.0,0.1077,0.4267,0.0139,6,1,1
6312.0,186.0,1,0,99.0,139.0,139.0,179.0,197.5664,318.0098,132.3707,61.5081,76.9756,139.0,139.0,0.0,0,0.0,0.211,0.3765,0.0707,1,2,1
5604.0,167.0,1,1,437.0,159.0,159.0,497.0,87.9673,203.0222,70.5195,37.5,32.0351,99.0,99.0,596.0,0,715.0,0.1455,0.35,0.0067,1,2,0
9665.0,298.0,1,0,99.0,80.0,80.0,139.0,432.0706,113.7036,440.696,66.3268,69.9714,80.0,80.0,139.0,0,0.0,0.1061,0.1316,0.0118,1,2,1
1244.0,39.0,0,1,99.0,139.0,139.0,119.0,198.4452,69.8033,189.1719,28.2931,23.0054,139.0,139.0,2342.0,0,238.0,0.0197,0.1592,0.05,4,3,0
5807.0,172.0,1,0,99.0,239.0,239.0,179.0,244.0215,148.7725,315.0873,70.5868,65.146,239.0,239.0,0.0,0,0.0,0.199,0.1525,0.0525,2,1,0
1725.0,54.0,1,0,119.0,99.0,99.0,99.0,123.0864,151.6344,34.4093,95.6831,100.4054,179.0,179.0,278.0,0,457.0,0.1464,0.2758,0.0295,4,3,0
6204.0,183.0,1,0,139.0,179.0,438.0,238.0,242.0976,290.7116,332.5432,95.1972,51.4806,278.0,139.0,0.0,1,716.0,0.1616,0.1766,0.0267,2,1,1
10198.0,310.0,0,1,199.0,199.0,199.0,139.0,153.1617,226.7692,129.0736,53.106,58.1055,99.0,99.0,377.0,0,0.0,0.1842,0.3622,0.0127,2,3,0
6487.0,192.0,1,0,99.0,99.0,99.0,99.0,849.8059,51.12,852.7626,27.2259,7.5166,99.0,99.0,99.0,0,0.0,0.0344,0.0404,0.0262,7,2,1
770.0,23.0,1,0,238.0,119.0,119.0,219.0,22.809,275.7,95.1315,69.4064,65.2763,119.0,119.0,0.0,1,119.0,0.0756,0.1351,0.0184,3,2,1
8638.0,274.0,1,0,80.0,199.0,199.0,119.0,605.3173,108.9082,708.8653,106.8796,109.983,199.0,199.0,0.0,0,0.0,0.1063,0.0663,0.0432,8,1,0
8578.0,272.0,1,0,99.0,199.0,199.0,179.0,138.058,129.0475,111.5706,39.6232,26.9258,199.0,199.0,0.0,0,0.0,0.2252,0.2487,0.0736,1,3,0
2539.0,78.0,1,1,139.0,299.0,518.0,279.0,112.5722,153.5008,449.3607,304.2606,301.7317,179.0,179.0,1434.0,1,11140.0,0.421,0.948,0.0045,6,1,0
8049.0,250.0,0,1,99.0,139.0,139.0,99.0,149.2716,332.0636,116.4302,37.9012,44.4185,139.0,139.0,0.0,0,0.0,0.0068,0.3408,0.0245,5,3,1
4617.0,143.0,1,0,179.0,298.0,378.0,239.0,325.6275,507.5355,416.1947,88.4604,47.1699,378.0,189.0,0.0,0,0.0,0.2777,0.2312,0.0439,9,1,1
2182.0,70.0,0,1,20.0,199.0,199.0,199.0,122.5826,111.7866,58.6941,73.814,70.3651,199.0,199.0,0.0,1,477.0,-0.0316,-0.0316,0.0161,6,3,0
8591.0,273.0,1,1,0.0,258.0,258.0,99.0,0.0,231.6948,0.0,20.6155,40.7462,258.0,258.0,0.0,1,179.0,-0.0778,0.1907,0.0434,5,2,0
186.0,5.0,0,1,179.0,99.0,99.0,139.0,131.0506,721.5028,92.2659,42.6878,42.003,99.0,99.0,497.0,1,99.0,-0.055,0.225,0.0088,2,7,1
2294.0,73.0,0,1,20.0,179.0,179.0,140.0,1057.0072,124.5161,189.1904,49.7519,55.0023,179.0,179.0,0.0,1,0.0,-0.3453,-0.3453,0.011,6,2,1
3215.0,98.0,1,0,199.0,239.0,239.0,239.0,423.3536,148.0008,454.8241,32.28,54.8657,239.0,239.0,0.0,0,0.0,-1.6134,-0.4219,0.0168,4,1,1
9349.0,290.0,1,0,179.0,338.0,338.0,139.0,448.0904,680.3242,573.4544,128.7187,133.1662,338.0,338.0,0.0,0,278.0,0.0642,0.0852,0.049,2,1,0
9147.0,287.0,1,1,139.0,219.0,219.0,258.0,223.1435,129.2256,337.0534,108.2266,101.0198,358.0,358.0,0.0,0,716.0,0.1412,0.1812,0.0366,3,1,0
6565.0,194.0,1,1,99.0,139.0,139.0,80.0,322.8258,135.5083,256.0176,75.2861,81.0015,318.0,159.0,0.0,0,318.0,0.162,0.419,0.0322,8,5,0
3232.0,98.0,1,0,140.0,120.0,120.0,259.0,109.6016,387.3296,92.5419,31.5634,34.3402,120.0,120.0,0.0,0,0.0,0.0441,0.8376,0.0084,7,5,0
8340.0,261.0,1,0,99.0,139.0,139.0,99.0,442.1629,252.0005,398.0452,43.1856,47.0106,139.0,139.0,218.0,0,0.0,0.2644,0.1824,0.0227,4,7,0
1199.0,37.0,1,0,99.0,139.0,139.0,199.0,151.7383,197.5152,82.7647,79.77,63.4133,139.0,139.0,0.0,0,0.0,0.0908,0.1803,0.0172,7,4,0
9025.0,284.0,1,0,139.0,616.0,616.0,159.0,365.3505,638.0384,338.0311,34.3984,48.3865,616.0,616.0,298.0,0,0.0,0.0842,0.2257,0.0721,1,6,1
8196.0,256.0,1,1,159.0,99.0,99.0,119.0,65.8426,153.8059,90.4268,49.8623,39.5127,99.0,99.0,0.0,0,0.0,0.3324,0.3554,0.0085,8,1,0
10530.0,321.0,0,0,99.0,239.0,239.0,80.0,260.1389,198.2524,228.7204,48.1067,29.5296,239.0,239.0,0.0,0,239.0,-0.0428,0.0207,0.0238,2,5,1
55.0,2.0,1,0,258.0,437.0,437.0,179.0,44.9722,219.3285,128.0039,81.7435,79.939,258.0,258.0,0.0,1,258.0,0.101,0.1745,0.0241,3,1,0
5883.0,175.0,1,0,398.0,119.0,119.0,179.0,75.2014,261.2317,57.7235,24.8244,34.821,119.0,119.0,0.0,0,0.0,0.1955,0.1955,0.0197,1,2,1
2110.0,66.0,0,1,159.0,119.0,199.0,80.0,167.7982,202.5913,145.1241,34.6699,51.6164,239.0,239.0,4912.0,0,239.0,0.1514,0.3404,0.0239,6,3,1
5501.0,165.0,1,0,119.0,318.0,318.0,179.0,270.2041,85.5015,272.3417,10.5119,21.0238,318.0,318.0,179.0,0,0.0,0.0825,0.133,0.0332,1,4,0
3934.0,127.0,1,0,159.0,238.0,238.0,99.0,51.1981,151.5074,90.1998,38.2655,42.4264,238.0,238.0,0.0,1,238.0,0.0006,0.1471,0.0315,3,1,0
2564.0,78.0,0,0,179.0,179.0,179.0,20.0,167.0269,99.776,132.28,55.599,37.2055,179.0,179.0,0.0,1,358.0,1.4375,1.7875,0.0045,2,5,1
9603.0,296.0,0,1,179.0,199.0,338.0,179.0,143.6672,220.1113,81.7863,58.4209,208.1538,338.0,169.0,0.0,0,0.0,0.0541,0.1206,0.0379,3,4,0
2172.0,70.0,1,0,159.0,319.0,319.0,259.0,1215.5355,219.2373,362.5521,934.1522,95.9401,319.0,319.0,0.0,0,319.0,0.1004,0.3729,0.0259,4,1,1
982.0,30.0,0,0,239.0,80.0,80.0,80.0,367.1597,113.3854,233.8931,151.0174,155.7321,80.0,80.0,0.0,0,0.0,0.0084,0.1174,0.0082,4,3,1
5630.0,167.0,1,0,199.0,179.0,179.0,238.0,263.5043,150.1408,199.0226,70.5284,74.0068,179.0,179.0,0.0,0,0.0,0.052,0.0795,0.012,4,4,0
9910.0,304.0,1,1,0.0,179.0,179.0,119.0,145.0422,199.4655,193.933,72.0035,176.6388,318.0,159.0,0.0,0,3102.0,0.159,0.285,0.0257,1,1,0
4391.0,136.0,0,1,418.0,99.0,218.0,159.0,139.0,158.749,88.955,51.0416,44.9361,179.0,179.0,1173.0,0,179.0,0.3452,0.4592,0.0067,7,3,1
8908.0,281.0,1,1,199.0,139.0,139.0,139.0,692.9203,194.0309,727.7651,30.9233,28.4297,139.0,139.0,199.0,0,0.0,0.1047,0.0957,0.0165,3,2,0
2352.0,74.0,1,0,558.0,179.0,358.0,558.0,222.797,217.6718,222.7667,9.3005,48.2701,358.0,179.0,0.0,0,0.0,0.6117,0.0597,0.0304,5,2,1
20.0,1.0,1,1,298.0,179.0,179.0,318.0,314.0334,145.8124,397.5487,67.3146,94.5,219.0,219.0,0.0,0,0.0,0.1975,0.186,0.0286,3,1,1
6519.0,193.0,1,0,99.0,139.0,139.0,99.0,331.7356,157.2657,260.0077,74.4312,71.5437,139.0,139.0,0.0,0,0.0,0.2109,0.2109,0.0588,10,5,0
8812.0,279.0,1,0,0.0,139.0,139.0,179.0,0.0,275.055,0.0,108.5415,108.1134,139.0,139.0,0.0,0,0.0,0.0753,0.1288,0.0173,1,1,1
2102.0,66.0,0,0,219.0,99.0,99.0,179.0,145.1043,769.3585,115.0043,28.8531,36.4005,99.0,99.0,0.0,1,99.0,0.0934,0.1649,0.0099,1,7,0
8896.0,280.0,1,1,278.0,139.0,397.0,139.0,139.0,120.0521,47.2969,84.6537,74.6274,298.0,298.0,2525.0,1,636.0,0.1352,1.0012,0.0379,10,5,0
6943.0,210.0,1,0,119.0,139.0,139.0,99.0,84.061,261.0388,140.2926,69.7711,76.2955,139.0,139.0,0.0,1,278.0,0.1893,0.2853,0.0372,4,1,0
8239.0,256.0,1,0,99.0,179.0,179.0,139.0,124.291,150.3671,123.0447,8.0623,91.8178,218.0,109.0,0.0,1,1012.0,0.3104,0.3344,0.0187,10,5,0
1163.0,35.0,1,0,239.0,119.0,218.0,119.0,77.1767,39.6138,100.7224,69.0254,65.3242,218.0,109.0,0.0,0,0.0,0.3843,0.4623,0.0455,8,1,1
9667.0,298.0,1,0,139.0,80.0,80.0,179.0,355.9277,327.5462,277.9658,76.0345,79.9203,80.0,80.0,0.0,0,0.0,0.1061,0.2531,0.0118,1,4,1
2513.0,78.0,1,0,140.0,159.0,159.0,219.0,55.0091,135.9458,24.0208,32.9621,35.3553,159.0,159.0,2152.0,1,2051.0,0.3575,1.058,0.004,6,3,0
5113.0,155.0,0,1,139.0,278.0,278.0,119.0,196.1479,93.5909,279.4351,84.1264,78.5828,338.0,338.0,1252.0,1,378.0,0.1093,0.1288,0.0305,3,1,0
695.0,22.0,1,1,159.0,557.0,557.0,219.0,120.8387,417.632,123.0366,70.2282,52.5405,139.0,139.0,994.0,0,796.0,0.2246,0.2401,0.0083,5,1,1
6566.0,194.0,1,1,139.0,80.0,160.0,119.0,135.5083,159.8132,97.1854,40.5123,50.6014,99.0,99.0,0.0,1,99.0,0.162,0.419,0.01,8,6,0
7797.0,240.0,1,0,139.0,100.0,100.0,179.0,236.0095,432.6413,234.0534,2.0616,12.7475,100.0,100.0,0.0,0,0.0,0.1456,0.1201,0.0095,8,6,0
3122.0,95.0,1,0,319.0,279.0,279.0,179.0,340.1092,112.641,374.4129,55.1385,77.4919,279.0,279.0,0.0,0,0.0,0.2006,-0.2634,0.0507,3,1,0
1511.0,45.0,1,1,0.0,219.0,219.0,99.0,92.3147,218.3169,128.8875,38.8973,37.0203,139.0,139.0,258.0,0,994.0,0.0001,0.0686,0.0219,6,1,0
5572.0,166.0,1,0,80.0,219.0,219.0,139.0,221.6529,193.1094,202.094,34.442,35.934,219.0,219.0,0.0,0,0.0,0.106,0.494,0.0164,6,4,0
7482.0,228.0,1,0,0.0,139.0,139.0,99.0,0.0,141.1497,0.0,121.4949,124.6365,139.0,139.0,0.0,0,0.0,0.1667,0.1417,0.0636,1,1,1
7035.0,213.0,1,0,80.0,99.0,99.0,318.0,148.0135,376.0618,54.5894,94.1409,93.0121,99.0,99.0,0.0,0,0.0,0.1698,0.5128,0.0202,9,4,0
1441.0,44.0,1,1,139.0,278.0,278.0,179.0,87.0919,162.5031,71.1688,43.2695,37.9012,278.0,278.0,0.0,0,318.0,0.1921,0.2671,0.0186,8,1,0
10608.0,325.0,1,0,179.0,179.0,179.0,179.0,144.5424,249.8024,148.4082,20.5973,6.0208,179.0,179.0,0.0,0,0.0,0.1442,0.1397,0.0653,2,4,0
821.0,24.0,1,1,0.0,258.0,258.0,99.0,87.1321,114.2804,144.0868,57.5543,59.2115,298.0,298.0,0.0,1,298.0,0.1296,0.1881,0.033,1,1,1
10784.0,332.0,1,0,139.0,139.0,139.0,159.0,139.5797,163.5008,77.9295,51.2104,57.7624,139.0,139.0,0.0,0,0.0,0.1005,0.1515,0.031,5,2,1
6331.0,187.0,1,0,139.0,199.0,199.0,159.0,208.4017,172.1547,237.4026,37.977,41.8718,199.0,199.0,0.0,0,0.0,-0.0605,0.124,0.0292,4,1,1
5796.0,171.0,1,0,99.0,80.0,80.0,99.0,618.2952,202.5938,632.0198,27.0416,20.8147,99.0,99.0,0.0,0,99.0,0.1165,-0.021,0.01,7,3,0
3589.0,111.0,1,1,238.0,258.0,258.0,139.0,162.0633,184.0448,68.0147,116.9027,132.1855,258.0,258.0,1113.0,0,159.0,0.226,0.58,0.0416,4,2,0
6035.0,178.0,1,1,358.0,139.0,139.0,139.0,533.496,152.0403,759.3958,412.7484,418.6123,139.0,139.0,1132.0,0,357.0,0.3536,0.3536,0.0104,3,5,0
8678.0,275.0,1,0,100.0,80.0,80.0,139.0,175.1828,495.0,263.1216,93.0013,79.7653,80.0,80.0,0.0,1,80.0,0.0583,0.0708,0.0108,10,1,1
6449.0,191.0,1,0,159.0,139.0,139.0,80.0,195.6074,442.5636,262.5452,73.6699,66.6202,139.0,139.0,0.0,0,0.0,0.2484,0.3484,0.0298,2,1,1
7645.0,236.0,1,1,199.0,179.0,179.0,99.0,407.2079,462.8998,243.6144,164.2209,166.7468,179.0,179.0,0.0,0,0.0,0.1781,0.2616,0.0179,1,3,1
5357.0,161.0,1,0,179.0,318.0,318.0,139.0,473.6465,177.1588,525.8156,58.9936,59.0762,318.0,318.0,0.0,0,0.0,0.1332,0.0472,0.0383,6,1,1
2806.0,85.0,1,0,219.0,219.0,219.0,179.0,105.1095,252.5005,119.7539,56.356,54.0786,219.0,219.0,0.0,0,0.0,1.2187,1.9262,0.0199,10,1,1
2185.0,70.0,0,1,319.0,139.0,139.0,219.0,86.338,127.7204,117.2732,36.1836,11.4127,139.0,139.0,677.0,0,139.0,-0.0316,-0.0861,0.0113,6,5,0
7511.0,229.0,1,0,219.0,119.0,119.0,80.0,184.6943,209.5376,122.9309,87.8877,109.4178,119.0,119.0,0.0,0,537.0,0.1212,0.1432,0.0171,1,4,0
3015.0,92.0,1,0,159.0,379.0,379.0,279.0,139.6612,86.0712,120.3038,23.3773,41.7043,379.0,379.0,0.0,0,0.0,1.7096,1.7096,0.0499,3,2,0
3548.0,110.0,1,1,0.0,239.0,239.0,318.0,0.0,76.4003,0.0,28.5044,29.6522,239.0,239.0,0.0,0,0.0,0.1495,0.38,0.0369,2,2,1
8219.0,256.0,0,1,99.0,139.0,457.0,99.0,251.5244,580.5603,128.8759,125.9573,111.2048,457.0,152.3333,99.0,0,0.0,0.2364,0.2754,0.0391,5,7,0
8032.0,250.0,1,0,219.0,179.0,318.0,199.0,269.5019,181.5991,166.1084,103.2049,50.2021,318.0,159.0,0.0,0,0.0,0.0603,0.2823,0.0559,1,4,1
9290.0,289.0,1,1,139.0,239.0,239.0,80.0,128.7187,222.3241,74.6726,50.5,60.6012,119.0,119.0,716.0,0,557.0,0.1557,0.2842,0.0057,7,2,1
7795.0,240.0,1,0,119.0,159.0,159.0,139.0,77.2868,209.5024,127.1417,92.0706,80.5559,159.0,159.0,0.0,0,0.0,0.1526,0.1416,0.0152,8,1,0
677.0,22.0,1,1,159.0,139.0,139.0,80.0,56.2228,158.0008,121.7539,77.579,67.6498,139.0,139.0,0.0,1,2085.0,0.0791,0.1326,0.0083,1,1,1
10133.0,309.0,1,0,139.0,80.0,80.0,219.0,371.7637,161.4102,362.4472,18.6682,19.0066,80.0,80.0,0.0,0,0.0,-0.0453,0.0647,0.0095,5,7,0
1486.0,44.0,1,1,139.0,278.0,278.0,179.0,425.2473,205.0274,462.0444,57.6888,37.1652,159.0,159.0,0.0,0,318.0,0.1331,0.2486,0.0107,8,1,0
1881.0,58.0,1,0,278.0,159.0,159.0,100.0,83.2541,151.0406,16.0312,73.5153,75.2014,159.0,159.0,0.0,0,159.0,0.1588,0.2173,0.0242,1,4,1
1538.0,46.0,1,0,80.0,139.0,139.0,159.0,119.501,178.9728,53.7587,81.6854,84.5237,139.0,139.0,0.0,0,0.0,0.1106,0.3311,0.0357,10,2,0
9314.0,289.0,1,1,99.0,99.0,99.0,100.0,258.6397,149.9108,267.1516,25.7099,23.3077,219.0,219.0,2583.0,0,1550.0,0.1522,0.1172,0.0106,5,2,1
6946.0,210.0,1,0,80.0,80.0,80.0,99.0,470.0234,855.5298,437.4837,38.5519,31.0161,80.0,80.0,0.0,0,80.0,0.1058,0.2873,0.0214,4,8,0
3497.0,108.0,1,0,338.0,199.0,199.0,179.0,273.27,488.5064,126.0992,140.6076,132.8768,199.0,199.0,0.0,0,0.0,0.2633,0.1708,0.0382,1,2,1
10461.0,319.0,1,1,99.0,139.0,139.0,99.0,119.3838,70.9366,66.4831,86.954,65.073,80.0,80.0,99.0,0,0.0,-0.0873,0.2312,0.0142,2,3,1
4523.0,140.0,1,0,278.0,318.0,318.0,238.0,741.5153,409.1314,875.8225,151.9581,149.7005,318.0,318.0,0.0,0,0.0,0.1942,0.1052,0.063,3,1,1
5382.0,162.0,1,0,179.0,318.0,318.0,278.0,176.1817,151.2878,170.0471,7.9057,9.9247,318.0,318.0,0.0,0,0.0,0.0537,0.0917,0.0398,5,2,0
7386.0,226.0,1,1,80.0,80.0,80.0,119.0,114.1326,246.5507,107.2054,34.5145,32.8101,80.0,80.0,1254.0,0,0.0,-0.0982,-0.0292,0.0098,3,6,1
3155.0,96.0,1,0,159.0,339.0,339.0,279.0,73.7445,82.4697,98.387,48.7468,41.0122,339.0,339.0,0.0,0,0.0,1.1346,2.2261,0.0436,7,1,1
7606.0,234.0,1,0,139.0,159.0,159.0,80.0,198.7719,286.5157,206.6422,5.5902,17.2627,159.0,159.0,0.0,0,0.0,0.2011,0.1871,0.0457,10,3,0
795.0,24.0,1,1,99.0,139.0,278.0,239.0,190.7367,143.7228,70.7107,122.0502,115.3527,278.0,139.0,3917.0,0,0.0,0.0306,0.0681,0.0307,4,4,0
9046.0,284.0,1,0,80.0,199.0,199.0,159.0,263.593,261.5937,126.0992,136.5147,141.0035,199.0,199.0,0.0,0,0.0,0.2507,0.3797,0.0233,9,2,1
9031.0,284.0,0,1,179.0,139.0,139.0,199.0,490.4921,210.4335,478.9259,11.4018,21.095,139.0,139.0,0.0,1,0.0,0.2257,0.2477,0.0163,2,2,0
194.0,6.0,1,1,0.0,139.0,139.0,238.0,0.0,402.5102,0.0,71.1706,59.5399,139.0,139.0,0.0,0,0.0,-0.075,0.0115,0.0187,5,1,0
7946.0,246.0,1,1,199.0,159.0,159.0,119.0,581.0491,53.8145,623.3883,49.1172,41.6923,139.0,139.0,139.0,1,298.0,0.0883,0.4633,0.0237,9,2,0
10842.0,334.0,1,0,179.0,139.0,139.0,139.0,390.4971,89.1319,450.4942,59.0445,51.0098,139.0,139.0,0.0,0,0.0,0.161,0.267,0.023,4,1,0
2671.0,81.0,1,0,20.0,239.0,239.0,20.0,88.0738,72.5844,128.9961,86.6516,88.596,239.0,239.0,0.0,0,0.0,0.4335,0.556,0.0255,1,1,0
8595.0,273.0,1,0,298.0,259.0,259.0,139.0,169.6445,90.1124,114.2804,57.3149,54.0231,259.0,259.0,0.0,0,0.0,-0.0333,0.2002,0.0436,1,3,0
8423.0,265.0,1,0,258.0,199.0,199.0,119.0,273.5658,761.4494,243.6658,40.0562,31.9061,199.0,199.0,0.0,0,0.0,0.0642,0.4182,0.0417,2,6,1
8042.0,250.0,1,0,199.0,119.0,119.0,179.0,80.6489,242.8482,42.107,37.0473,27.0416,119.0,119.0,0.0,0,0.0,0.2028,0.1913,0.0209,3,2,0
8045.0,250.0,1,0,139.0,278.0,417.0,298.0,183.807,44.0028,231.1385,65.5534,64.5368,417.0,208.5,0.0,0,0.0,0.2028,0.0803,0.0734,4,1,0
6447.0,191.0,1,0,99.0,100.0,299.0,159.0,256.186,182.0687,314.56,61.2944,51.8845,299.0,149.5,0.0,0,0.0,0.2169,0.3484,0.064,1,1,0
10143.0,309.0,1,0,139.0,179.0,398.0,80.0,469.2297,70.7425,492.8661,109.2016,60.4669,398.0,132.6667,0.0,0,0.0,0.1837,0.3397,0.0472,7,1,1
4922.0,150.0,0,1,159.0,179.0,179.0,159.0,129.1395,90.8102,50.1597,73.8394,81.7206,179.0,179.0,2346.0,0,0.0,0.2116,0.1196,0.0161,1,6,1
10840.0,334.0,1,0,179.0,259.0,259.0,179.0,31.7057,381.6733,83.3607,59.0762,51.5606,259.0,259.0,0.0,1,259.0,0.2455,0.253,0.0428,3,1,0
1815.0,57.0,0,1,99.0,99.0,99.0,139.0,30.7612,565.0179,87.2983,60.9036,61.5081,99.0,99.0,0.0,1,99.0,0.1739,0.0259,0.011,8,1,0
6326.0,187.0,1,0,119.0,179.0,179.0,298.0,138.0906,176.5574,52.2015,79.2465,68.3118,179.0,179.0,0.0,0,0.0,0.1845,0.12,0.0263,2,3,0
3135.0,96.0,1,1,0.0,199.0,199.0,159.0,0.0,52.0048,0.0,48.7083,51.9711,199.0,199.0,0.0,1,399.0,0.7161,1.1741,0.0256,2,1,1
3706.0,116.0,1,0,159.0,139.0,139.0,139.0,149.1107,467.4497,32.5576,119.708,120.2206,139.0,139.0,0.0,0,0.0,0.2776,0.6371,0.0343,4,3,1
3511.0,108.0,0,1,119.0,139.0,139.0,99.0,180.3607,193.9001,93.723,98.5723,81.4125,139.0,139.0,0.0,0,0.0,0.0383,0.3008,0.0267,6,2,1
2994.0,91.0,0,1,219.0,299.0,299.0,20.0,113.0896,194.5308,51.0098,72.5844,84.4808,299.0,299.0,0.0,0,0.0,0.1471,1.4196,0.0267,6,4,0
