ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
61,-8,3,50,4,1,1,80,14,6,5,2,0,-7,0,0,74,-8,4,-8,3,100
77,127,2,62,11,0,0,100,-7,7,10,1,25,-7,3,3,28,43,3,2,1,83
78,162,8,58,38,0,0,100,-7,7,53,2,18,2,1,1,6,80,3,3,0,32
90,-8,1,119,19,0,0,95,-7,5,0,1,19,-8,0,0,7,24,3,2,0,56
84,307,0,86,18,0,0,95,75,6,19,4,21,-7,1,0,7,5,4,2,0,43
56,126,15,66,22,2,2,86,0,4,22,0,23,14,0,0,21,60,4,2,0,55
83,171,2,77,12,0,0,92,55,6,14,1,31,-8,0,0,12,78,2,2,0,80
88,367,9,117,32,0,0,100,-7,7,32,1,22,13,0,0,0,-8,4,2,0,35
75,248,5,53,24,0,0,100,-7,7,24,2,25,3,1,1,11,35,4,3,0,50
56,324,2,100,39,0,0,95,15,6,42,2,14,0,4,4,94,-8,20,1,18,85
57,78,5,95,10,0,0,82,11,4,5,2,18,-7,0,0,62,-8,5,1,1,100
65,161,2,58,14,1,0,88,30,6,17,5,41,0,3,3,57,26,4,3,1,70
66,332,4,134,12,4,4,79,72,6,14,2,43,8,0,0,47,96,4,3,1,100
76,375,37,219,4,0,0,50,8,4,6,0,17,0,3,3,22,-8,2,-8,0,67
78,177,1,65,26,0,0,96,-8,6,28,3,46,-7,1,1,4,72,4,5,0,64
70,241,2,104,23,1,0,70,26,6,27,1,52,0,1,1,43,53,5,2,0,89
82,205,3,87,21,0,0,100,-7,7,23,1,48,0,0,0,10,70,3,6,0,75
80,173,15,82,18,0,0,100,-7,7,40,0,47,-8,0,0,32,67,3,4,0,88
88,368,10,155,16,0,0,100,-7,7,17,1,18,2,1,1,7,-8,4,1,0,71
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
81,158,9,64,32,0,0,100,-7,7,32,2,50,-7,2,2,14,-8,2,-8,0,17
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
65,148,1,65,16,0,0,100,-7,7,17,1,29,4,1,1,79,69,7,5,6,92
87,433,87,198,6,0,0,100,-7,7,7,0,0,0,0,0,13,-8,1,-8,0,25
89,175,29,94,4,0,0,100,-7,7,6,0,20,-7,4,4,0,-8,0,-8,0,0
78,367,2,113,39,0,0,100,-7,7,41,2,20,1,1,1,11,85,16,2,1,69
69,434,5,141,18,1,0,95,4,3,19,2,37,0,1,1,47,99,5,2,-8,78
58,142,2,60,11,1,1,92,3,0,13,1,46,0,0,0,91,87,7,4,3,100
61,190,7,118,34,0,0,82,22,5,34,1,50,19,0,0,97,78,6,4,4,100
78,239,0,92,28,0,0,97,6,4,20,4,13,0,2,1,2,-8,4,1,0,36
68,144,4,58,24,0,0,100,-7,7,24,3,38,0,0,0,81,82,8,4,2,100
75,223,2,94,25,0,0,96,9,4,26,2,50,-7,0,0,27,74,6,8,0,78
82,306,5,67,18,0,0,100,-7,7,19,2,32,0,1,1,0,58,2,4,0,46
71,214,18,127,10,1,0,64,14,6,11,0,18,-7,0,0,51,81,3,1,2,57
72,172,15,76,5,1,1,100,-7,6,5,0,20,2,1,1,39,-8,2,-8,0,100
76,260,3,94,42,1,1,98,64,6,85,7,27,3,8,8,14,-8,5,2,1,50
69,274,2,73,44,1,1,93,40,6,47,3,43,0,6,6,28,95,8,6,2,58
59,195,5,51,17,2,2,84,5,1,19,3,53,0,1,1,32,83,2,2,2,75
70,139,17,58,19,0,0,100,-7,7,19,0,37,1,4,4,63,76,3,3,1,86
81,144,14,83,23,0,0,92,54,6,25,0,36,0,0,0,8,49,1,2,0,33
91,303,4,101,11,0,0,100,-7,7,12,1,36,-8,0,0,1,97,2,2,0,57
65,176,5,72,12,2,2,79,10,4,14,2,36,20,0,0,58,-8,5,1,3,60
80,141,9,57,33,0,0,100,-7,7,33,2,24,8,0,0,6,-8,1,1,1,43
69,127,11,57,29,0,0,100,-7,7,29,1,34,4,2,2,48,91,5,3,3,80
70,72,5,22,10,0,0,100,-7,7,8,2,40,-7,1,0,64,73,6,2,1,100
65,247,1,67,18,1,0,95,51,6,16,3,55,-7,0,0,65,85,6,3,2,100
82,177,5,54,25,0,0,96,-8,6,26,4,42,0,1,1,9,77,4,2,0,75
68,214,2,17,8,0,0,90,-8,6,10,3,20,-7,0,0,52,-8,4,1,0,71
68,86,7,27,11,1,1,92,7,0,12,3,50,0,1,1,0,95,0,3,-8,50
65,242,4,28,6,2,2,75,13,6,7,3,63,-7,2,2,23,87,1,3,0,100
65,280,2,69,31,0,0,100,-7,7,33,4,6,0,5,5,34,-8,10,1,5,55
77,265,8,82,13,0,0,100,-7,7,13,1,38,0,0,0,47,92,3,2,2,83
71,95,1,43,33,0,0,100,-7,7,41,4,17,0,4,4,17,89,7,3,1,53
56,216,7,68,22,3,2,84,3,0,26,2,32,0,2,2,76,62,4,3,3,50
60,165,2,79,43,0,0,92,9,4,49,2,47,0,0,0,73,89,7,2,-8,77
64,185,8,96,31,2,0,88,17,6,33,1,21,16,0,0,73,92,8,3,6,73
82,254,12,84,29,0,0,97,32,6,29,0,34,0,0,0,7,55,3,3,0,58
87,182,8,73,45,0,0,98,-8,6,45,4,20,15,0,0,4,46,2,2,0,20
76,181,24,67,19,0,0,95,31,6,19,0,58,16,0,0,54,57,1,4,0,63
75,178,4,62,38,0,0,95,53,6,39,2,15,0,1,1,15,-8,6,-8,1,43
55,137,7,67,13,1,1,79,1,0,14,1,21,0,9,8,26,89,2,2,0,71
73,131,3,84,20,0,0,100,-7,7,14,6,60,-7,4,4,48,50,4,8,2,93
75,97,0,43,28,0,0,100,-7,6,30,4,67,0,5,5,48,79,3,5,1,89
65,137,6,76,22,6,2,73,12,6,30,1,60,1,2,2,45,55,3,4,0,100
86,274,39,106,8,0,0,100,-7,7,8,0,50,-8,0,0,0,12,1,1,0,67
64,238,6,99,28,1,0,90,4,3,29,1,14,-7,1,1,2,96,2,1,0,18
69,88,23,62,5,0,0,80,5,4,5,0,40,0,0,0,0,67,0,1,0,50
67,65,1,16,9,0,0,100,-7,7,10,6,60,0,0,0,55,75,4,4,1,100
69,198,3,111,21,1,1,100,-7,0,23,3,26,-7,1,1,5,-8,2,2,0,57
74,455,4,194,20,0,0,95,43,6,20,2,25,6,0,0,43,96,7,3,1,71
61,183,7,76,8,2,2,80,1,4,12,2,33,0,0,0,0,-8,1,1,0,50
62,147,3,41,8,1,1,89,25,5,9,2,44,0,1,1,97,84,4,3,1,100
63,120,6,43,23,2,2,96,76,6,26,4,52,0,5,5,75,88,9,2,6,100
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60,252,17,78,17,1,1,100,-7,7,20,0,50,-7,1,1,85,67,3,3,3,86
79,133,2,60,38,0,0,100,-7,7,37,2,8,1,4,4,12,-8,3,-8,1,27
67,232,11,91,28,0,0,96,40,6,28,1,21,0,4,4,39,90,7,3,3,67
71,210,7,93,26,0,0,100,-7,7,44,1,57,-7,0,0,83,84,6,6,1,86
80,247,11,133,45,0,0,92,25,6,53,1,45,-7,0,0,2,29,5,4,0,53
60,86,1,35,14,0,0,94,35,6,16,3,38,-7,4,4,101,79,3,4,1,100
58,129,2,23,21,0,0,100,-7,7,23,7,36,-7,4,2,74,74,8,4,2,93
68,113,4,46,13,0,0,100,-7,7,14,3,50,6,0,0,54,-8,2,3,2,63
85,168,9,72,41,0,0,100,-7,6,44,1,41,-7,2,2,3,56,3,2,0,42
80,251,7,79,46,0,0,100,-7,6,44,3,40,7,0,0,20,82,6,3,0,47
65,153,4,81,17,0,0,89,29,6,19,3,53,1,1,1,60,-8,4,2,0,86
65,321,3,74,27,2,1,68,21,6,31,5,45,0,4,4,11,91,1,4,0,56
73,134,11,54,23,0,0,100,-7,7,24,1,46,2,1,1,47,58,4,4,1,67
77,229,3,109,23,0,0,100,-7,7,23,2,35,0,0,0,38,93,4,3,1,58
54,300,10,113,28,1,1,87,2,4,30,1,63,9,0,0,62,48,6,5,1,92
72,159,6,79,36,1,1,97,13,0,37,2,19,3,2,2,13,74,9,3,1,62
54,88,7,37,25,0,0,92,9,4,26,3,58,0,4,4,89,76,7,7,2,100
63,309,9,51,34,0,0,100,-7,7,25,1,32,0,7,6,54,59,8,3,2,52
88,219,2,80,28,0,0,100,-7,7,32,5,34,22,0,0,5,69,6,4,0,67
85,182,17,96,19,0,0,96,48,6,24,0,42,9,0,0,5,-8,2,1,0,75
69,39,4,23,7,1,0,88,14,6,8,2,13,0,8,8,19,-8,3,-8,0,50
83,209,8,80,4,0,0,100,-7,7,5,1,20,0,0,0,9,-8,3,-8,-8,75
72,293,7,101,18,0,0,95,22,6,19,3,21,0,0,0,32,-8,5,1,0,46
86,225,4,79,14,0,0,100,-7,7,14,1,14,7,0,0,15,-8,2,-8,0,29
80,232,7,75,33,0,0,100,-7,7,34,2,38,6,0,0,5,37,3,3,0,55
86,-8,7,61,18,0,0,100,-7,7,20,1,20,-7,0,0,13,-8,2,1,0,43
88,433,6,138,21,0,0,96,76,6,23,2,74,0,4,4,0,93,2,2,0,57
61,188,10,83,41,0,0,98,4,4,41,1,37,0,1,1,24,81,1,4,1,44
75,177,4,99,38,0,0,97,2,4,38,2,32,-7,0,0,13,100,6,2,1,50
75,183,1,81,31,0,0,100,-7,7,33,4,9,0,2,2,37,-8,6,1,1,41
68,203,5,62,28,2,2,96,4,4,29,1,21,1,3,3,1,-8,2,1,1,25
81,198,4,63,20,0,0,100,-7,7,21,4,30,18,0,0,18,80,7,2,1,69
86,257,20,117,29,0,0,100,-7,6,29,0,45,-7,0,0,10,48,3,2,0,71
64,283,3,111,13,3,2,82,62,6,17,1,59,0,5,5,60,50,2,1,1,60
85,77,13,40,8,0,0,100,-7,7,8,0,50,0,0,0,4,-8,1,1,0,40
71,313,22,107,30,0,0,100,-7,7,32,0,53,0,1,1,19,15,3,4,0,89
79,150,5,43,25,0,0,100,-7,7,25,5,60,0,0,0,18,90,2,5,0,47
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
81,598,4,205,37,0,0,100,-7,7,37,2,22,0,1,1,28,7,7,4,1,50
77,98,1,46,22,0,0,100,-7,7,33,5,30,-7,4,4,2,92,3,3,0,46
65,256,15,52,17,0,0,100,-7,7,19,0,29,2,5,5,57,79,2,4,2,60
73,282,2,92,14,1,0,94,32,6,17,3,47,0,5,5,46,46,2,4,0,86
86,197,10,95,20,0,0,100,-7,7,24,1,58,-8,0,0,8,-8,4,1,0,63
58,375,72,137,7,4,3,30,2,0,11,0,10,0,0,0,44,-8,2,-8,1,50
84,365,5,75,20,0,0,95,53,6,31,3,0,19,0,0,8,-8,3,-8,0,31
64,103,1,52,22,1,1,88,26,6,24,3,38,1,5,5,29,77,4,3,2,58
84,138,5,74,24,0,0,96,30,6,28,1,57,0,1,1,5,-8,3,1,0,57
87,42,15,120,12,0,0,100,-7,7,12,0,33,-8,0,0,41,-8,1,1,0,50
82,308,8,109,38,0,0,100,-7,7,44,2,50,3,1,1,1,84,4,1,1,38
90,451,17,154,11,0,0,100,-7,7,12,0,33,16,0,0,3,9,1,3,0,50
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
80,202,44,147,5,0,0,100,-7,7,5,0,0,0,1,0,77,-8,3,-8,1,100
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
66,398,4,77,48,0,0,94,1,4,49,5,16,0,2,2,14,56,11,2,1,52
62,236,18,88,26,0,0,88,10,4,45,0,23,2,3,3,49,57,10,2,2,75
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
68,103,17,49,19,1,1,90,5,6,20,0,35,9,0,0,13,-8,1,2,0,50
89,191,25,108,3,0,0,100,-7,7,3,0,33,1,1,1,0,-8,0,1,0,50
68,126,6,50,18,0,0,94,51,6,9,3,44,0,3,3,41,68,4,7,1,79
54,119,110,115,1,2,2,50,1,1,2,0,0,-7,1,1,-8,-8,-8,-8,-8,-8
68,185,22,97,36,1,0,95,64,6,39,0,49,-7,0,0,65,67,8,3,3,86
67,97,2,46,8,0,0,100,-7,7,9,1,33,0,1,1,66,48,5,2,1,88
61,-8,20,120,27,0,0,87,3,4,30,0,57,-7,2,2,41,-8,4,1,0,71
78,297,5,71,21,0,0,95,-8,6,22,2,14,0,2,2,42,-8,2,-8,0,40
57,81,2,47,13,1,1,79,13,6,15,1,64,0,1,1,48,19,5,4,0,100
88,162,14,116,6,0,0,100,-7,7,6,0,17,13,0,0,2,-8,4,1,0,100
56,106,2,31,40,0,0,100,-7,7,41,10,46,-7,11,11,57,86,14,6,3,87
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
75,168,2,99,27,0,0,86,23,6,28,2,18,0,2,2,24,51,7,1,0,40
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
86,498,4,95,16,0,0,100,-7,7,16,1,44,-7,0,0,14,28,3,2,0,63
71,141,3,45,40,1,0,98,20,6,41,8,61,-8,0,0,33,121,2,14,1,73
65,385,4,101,36,0,0,84,4,4,39,3,21,0,0,0,16,85,9,2,1,52
81,160,5,79,27,0,0,100,-7,7,21,2,56,-7,0,0,46,26,3,3,1,67
75,63,4,75,26,1,1,100,-7,6,20,4,31,0,4,4,19,86,4,5,0,64
87,-8,67,217,4,0,0,100,-7,7,4,0,25,-7,0,0,33,-8,3,1,0,100
81,155,4,55,28,0,0,100,-7,7,29,4,36,2,2,2,2,94,4,2,0,46
63,46,2,21,13,0,0,100,-7,7,23,5,21,-7,3,3,66,78,7,2,2,75
61,113,20,54,3,5,5,50,29,5,6,0,67,-7,0,0,-8,10,-8,2,-8,100
78,265,32,115,11,0,0,100,-7,7,11,0,64,-8,0,0,80,-8,2,1,-8,100
68,197,21,88,8,1,0,55,3,3,11,0,36,1,2,2,6,-8,1,-8,0,17
83,199,9,98,53,0,0,100,-7,7,77,2,20,0,2,2,14,-8,4,1,0,29
77,186,13,70,9,1,0,90,53,6,10,0,60,0,1,1,32,50,1,3,1,67
70,137,32,87,18,0,0,95,4,4,21,0,15,-8,0,0,10,-8,2,1,0,50
75,196,4,59,32,0,0,100,-7,7,32,5,50,0,0,0,11,84,4,3,0,44
76,135,3,54,25,0,0,96,78,6,25,2,40,5,2,2,12,79,3,5,0,53
89,270,2,122,14,0,0,100,-7,7,15,1,33,0,1,1,2,-8,2,2,0,57
60,343,5,58,5,2,1,67,1,4,10,2,17,6,0,0,5,93,4,1,0,83
70,188,14,68,16,1,1,94,17,6,17,0,47,-7,1,1,53,83,2,2,1,80
79,140,5,66,13,0,0,100,-7,7,13,1,23,18,0,0,37,92,1,2,1,80
87,215,14,63,20,0,0,96,31,6,25,0,32,0,1,1,0,-8,1,1,0,20
64,228,10,86,18,1,1,85,7,0,20,1,55,0,1,1,47,44,3,5,1,83
63,37,8,21,9,0,0,100,-7,7,4,3,50,-7,1,1,81,47,5,7,2,92
66,185,8,42,10,0,0,100,-7,7,10,2,50,1,5,5,57,86,4,2,2,86
64,157,3,66,38,0,0,95,24,6,42,4,45,1,2,2,32,80,3,3,1,75
60,160,8,62,26,0,0,96,3,4,28,2,75,-7,0,0,57,60,5,6,3,100
85,154,45,159,4,0,0,100,-7,7,4,0,50,-8,0,0,53,-8,1,-8,0,100
82,115,5,57,19,1,0,95,72,6,21,2,24,0,6,6,9,-8,2,-8,0,20
89,447,10,136,6,0,0,100,-7,7,7,1,43,11,0,0,13,-8,1,1,0,67
67,45,5,19,10,2,2,100,-7,6,12,3,70,0,1,1,83,95,2,3,-8,100
72,116,9,49,10,0,0,100,-7,7,10,1,80,0,1,0,94,82,2,4,-8,100
73,246,7,105,22,0,0,91,13,6,23,1,32,-7,0,0,19,-8,4,1,0,38
83,167,16,69,38,1,0,98,66,6,40,0,40,-8,0,0,9,-8,3,1,0,36
84,196,11,84,18,0,0,100,-7,7,4,1,47,-8,0,0,0,89,1,3,0,67
65,11,10,39,17,1,0,72,13,6,1,2,39,-7,5,5,0,-8,3,2,0,63
57,164,5,74,30,1,1,90,7,0,35,1,57,0,5,4,64,75,6,4,2,92
74,222,3,102,24,1,1,96,50,6,27,2,37,0,2,2,3,-8,3,-8,0,27
72,103,9,58,16,2,0,89,59,6,19,1,6,1,1,1,14,-8,2,-8,1,18
60,147,2,107,7,6,6,89,78,0,12,1,33,0,6,5,1,-8,1,-8,1,50
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
80,190,6,65,10,1,1,92,65,6,12,2,50,0,0,0,48,-8,1,1,1,50
69,175,6,56,17,2,1,90,11,4,20,3,55,1,1,1,16,92,3,8,0,73
86,143,1,79,8,0,0,100,-7,7,9,1,44,0,0,0,13,-8,4,2,0,86
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
65,176,3,101,34,0,0,92,14,5,36,1,28,0,3,3,87,0,9,3,6,92
78,44,26,32,3,0,0,100,-7,7,3,0,0,-7,2,2,21,-8,1,-8,-8,50
57,212,2,87,29,1,1,94,61,5,32,4,47,0,5,5,57,69,6,2,2,73
65,195,6,115,12,0,0,63,21,6,16,1,44,17,0,0,88,94,4,2,3,86
80,94,8,48,8,0,0,90,12,6,10,1,20,3,2,2,33,-8,2,-8,0,50
79,141,16,111,21,0,0,100,-7,7,14,0,33,0,2,2,14,79,4,2,1,78
68,178,3,38,13,1,1,100,-7,6,13,6,23,0,1,1,29,82,6,2,0,67
75,201,2,65,31,0,0,97,44,6,46,6,30,12,0,0,30,76,4,3,1,36
63,179,2,41,16,1,1,89,10,4,22,5,53,0,2,2,37,67,2,5,1,100
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
72,-8,8,57,10,0,0,100,-7,7,0,2,50,8,0,0,56,-8,3,1,3,80
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
75,168,5,53,17,0,0,100,-7,7,6,5,41,4,1,1,17,-8,2,1,1,50
79,212,4,96,18,0,0,100,-7,7,18,1,28,5,0,0,62,34,2,2,1,56
71,188,2,63,46,0,0,98,62,6,47,7,23,0,1,1,44,39,8,4,5,50
56,127,2,53,40,0,0,95,9,4,41,6,41,0,11,11,40,98,7,4,3,85
65,64,6,40,14,0,0,100,-7,7,14,1,36,0,1,1,95,-8,3,2,3,86
77,242,2,86,14,0,0,93,17,6,15,1,33,-7,1,1,26,-8,3,2,0,83
74,262,35,115,17,0,0,94,3,4,17,0,35,-8,0,0,0,-8,2,2,0,71
89,490,6,99,18,0,0,100,-7,7,18,2,39,-7,0,0,2,52,2,2,0,57
64,209,3,59,20,0,0,90,15,6,20,5,25,0,1,1,90,78,6,4,3,83
80,88,2,50,20,0,0,95,39,6,22,2,48,21,0,0,13,55,4,3,0,70
60,181,8,67,15,3,3,80,2,0,20,1,40,0,2,2,35,82,6,4,0,91
64,43,1,15,10,0,0,100,-7,7,12,6,36,10,0,0,39,41,4,3,1,70
83,240,6,94,19,0,0,100,-7,7,19,2,47,0,0,0,21,88,3,2,0,83
80,40,40,40,1,0,0,100,-7,7,1,0,0,-8,0,0,27,-8,1,-8,-8,100
68,305,7,85,32,0,0,94,47,5,34,2,38,0,1,1,42,61,4,4,2,67
64,107,9,54,28,0,0,93,6,4,20,1,29,0,2,2,45,27,5,2,3,44
78,105,4,72,30,0,0,100,-7,7,4,1,20,-7,0,0,27,51,2,3,0,55
86,186,4,53,17,0,0,100,-7,7,17,4,29,0,3,3,4,-8,2,1,0,43
55,171,13,70,11,2,2,77,2,1,13,0,46,1,3,3,52,79,3,2,0,100
72,202,2,62,28,0,0,83,7,4,30,3,24,2,2,2,6,63,2,2,0,33
61,289,32,109,31,0,0,97,12,6,12,0,35,8,0,0,86,74,12,3,8,100
72,133,10,63,17,0,0,100,-7,7,17,1,24,0,2,2,52,-8,3,1,2,83
79,380,1,156,13,0,0,100,-7,7,16,2,19,0,5,4,24,-8,4,1,1,71
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
80,145,5,53,29,0,0,100,-7,7,30,7,17,10,0,0,0,-8,2,1,0,20
62,136,1,46,23,0,0,96,41,6,24,2,58,0,3,3,93,73,5,4,4,77
87,152,17,83,21,0,0,100,-7,7,21,0,62,16,0,0,4,78,2,2,0,67
65,265,11,64,16,0,0,88,37,6,17,1,24,0,1,1,76,-8,8,1,2,100
80,401,13,155,20,0,0,96,1,4,23,0,17,12,0,0,10,-8,2,-8,0,22
75,278,3,93,17,0,0,100,-7,7,17,4,47,2,2,2,43,-8,3,-8,1,100
58,134,5,71,24,1,1,92,2,4,26,2,42,-7,2,2,28,54,6,1,0,78
72,113,13,62,37,0,0,100,-7,7,37,0,24,1,2,2,46,78,10,5,4,71
68,299,10,75,36,0,0,100,-7,7,37,2,25,-7,0,0,73,32,7,3,4,91
70,139,5,67,19,1,0,83,19,6,23,2,57,5,0,0,39,66,2,3,0,100
63,129,6,51,13,0,0,85,1,4,13,3,46,0,3,2,43,2,4,2,0,75
85,-8,8,104,24,0,0,96,-8,6,0,2,8,13,0,0,1,71,6,2,0,42
76,280,12,77,25,0,0,100,-7,7,25,0,40,0,0,0,17,42,2,4,1,50
75,210,1,63,39,0,0,100,-7,7,44,7,36,1,2,2,16,67,4,8,1,60
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
-9,175,159,167,2,1,1,100,-7,9,3,0,50,0,2,2,-8,-8,-8,-8,-8,-8
71,229,4,89,47,1,1,92,3,0,21,3,25,-7,0,0,24,88,10,4,1,63
69,124,5,51,29,0,0,100,-7,7,29,4,21,-7,1,1,51,76,7,3,1,77
88,163,11,87,9,0,0,90,-8,6,10,1,20,0,0,0,2,-8,2,-8,0,40
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
82,169,9,64,27,0,0,100,-7,7,19,1,15,11,0,0,17,56,4,2,0,30
65,165,2,43,25,0,0,100,-7,7,26,7,15,0,2,1,35,96,7,3,2,59
69,168,1,78,17,0,0,89,9,4,10,2,58,-7,2,2,34,69,3,5,1,80
73,185,3,65,27,0,0,100,-7,7,27,4,48,0,5,5,46,26,5,4,1,69
78,263,23,102,19,0,0,95,31,6,19,0,42,14,0,0,17,29,6,3,0,82
57,180,9,98,19,3,3,74,4,0,21,1,21,0,1,1,21,95,9,1,0,71
63,121,4,66,13,1,1,75,4,0,7,2,38,-7,2,2,0,72,3,2,1,75
85,404,4,80,43,0,0,100,-7,7,44,3,28,20,0,0,3,54,7,3,0,63
80,172,2,32,38,0,0,100,-7,6,39,14,33,0,29,29,6,88,5,4,0,38
64,115,0,45,32,2,1,98,16,6,40,6,38,5,0,0,12,89,7,8,0,71
74,219,13,90,30,0,0,100,-7,7,30,0,33,0,2,2,28,-8,9,2,1,79
83,165,7,92,33,0,0,100,-7,7,50,1,68,0,1,1,16,85,3,6,0,69
65,77,6,50,2,1,1,67,57,6,3,1,67,0,0,0,-8,-8,-8,1,-8,100
68,110,5,48,14,0,0,71,23,6,14,1,43,0,1,1,30,78,3,2,1,83
68,266,13,93,29,1,1,90,39,6,29,0,59,0,2,2,98,53,3,4,3,88
71,43,8,84,14,2,2,93,32,6,4,1,38,0,1,1,46,94,2,2,0,57
63,158,31,88,14,0,0,80,3,4,15,0,53,0,0,0,48,-8,3,1,1,80
84,243,1,94,28,0,0,97,-8,6,32,2,50,0,1,1,6,63,2,2,0,33
73,219,4,88,23,0,0,100,-7,7,24,3,46,0,1,1,45,88,6,2,1,89
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
88,242,21,97,31,0,0,100,-7,7,38,0,23,3,1,1,1,39,4,3,0,33
62,185,8,67,38,0,0,95,7,4,38,2,24,0,0,0,19,-8,8,1,4,60
62,282,13,99,24,4,3,70,18,6,31,0,26,0,0,0,29,-8,4,1,1,45
