V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V13,V19,V22,V30,V33,V35,V36,V40,V41,V42,V43,V45,V47,V50,V51,V52,V59,V63,V72,V75
0.0,53.0,31.0,19,9197.0,573.0,7.0,47,389.0,0.0,7,33.0,7,2,1,3,9,6,0.0,0,0.0,129.0,1,8,3.0,6,0,0.0,2,1,1
0.0,1.0,12.0,10,2908.0,41.0,2.0,14,31.0,0.0,1,10.0,7,2,0,1,9,7,3.0,3,1.0,169.0,1,8,8.0,1,0,34.0,7,1,2
0.0,7.0,1.0,17,3566.0,146.0,8.0,0,390.0,0.0,5,17.0,5,2,1,0,9,8,2.0,3,7.0,0.0,1,8,16.0,3,1,18.0,7,30,2
0.0,1.0,6.0,3,2753.0,84.0,22.0,24,160.0,0.0,3,3.0,5,2,1,1,9,6,4.0,1,22.0,61.0,0,3,0.0,0,1,1.0,7,0,0
0.0,9.0,14.0,23,1234.0,214.0,3.0,33,90.0,0.0,1,23.0,9,2,3,0,9,6,25.0,3,18.0,49.0,8,5,0.0,2,0,15.0,2,1,0
1.0,20.0,5.0,4,7.0,5.0,5.0,4,4.0,1.0,2,4.0,7,2,1,3,9,7,0.0,1,17.0,0.0,1,3,0.0,1,0,1.0,6,2,0
2.0,0.0,1.0,5,1208.0,7.0,3.0,7,29.0,1.0,2,5.0,7,2,0,1,9,8,2.0,0,10.0,496.0,1,8,26.0,4,0,5.0,2,2,1
17.0,34.0,6.0,42,0.0,0.0,48.0,38,218.0,2.0,7,0.0,7,2,1,1,9,6,4.0,1,1.0,60.0,2,10,6.0,3,0,3.0,6,0,4
1.0,34.0,8.0,8,264.0,40.0,6.0,36,61.0,1.0,4,8.0,7,2,1,1,8,6,14.0,2,3.0,18.0,1,5,15.0,9,0,0.0,6,2,1
34.0,1.0,13.0,41,1088.0,101.0,55.0,33,1154.0,1.0,4,41.0,7,2,1,3,9,5,5.0,0,0.0,8.0,1,3,4.0,1,1,14.0,8,2,7
2.0,2.0,2.0,4,1333.0,7.0,28.0,11,151.0,1.0,8,4.0,4,2,1,3,9,8,11.0,3,36.0,53.0,2,10,14.0,4,1,0.0,9,2,1
0.0,1.0,11.0,2,3839.0,102.0,1.0,15,28.0,0.0,1,2.0,0,2,0,1,9,6,0.0,3,30.0,13.0,1,3,20.0,3,1,6.0,7,5,6
0.0,720.0,1.0,1,2422.0,18.0,156.0,11,212.0,0.0,22,1.0,6,2,1,0,9,6,3.0,3,6.0,343.0,0,5,10.0,2,0,1.0,1,0,0
2.0,2.0,1.0,6,1175.0,54.0,3.0,42,53.0,0.0,1,6.0,4,2,0,3,8,9,12.0,0,21.0,113.0,1,10,6.0,2,2,97.0,7,4,1
0.0,22.0,7.0,3,136.0,142.0,3.0,5,42.0,0.0,2,3.0,3,2,1,0,9,9,2.0,3,1.0,321.0,3,8,6.0,1,1,0.0,6,0,9
0.0,6.0,5.0,1,7740.0,147.0,5.0,26,145.0,0.0,1,8.0,4,2,0,3,9,7,3.0,2,34.0,16.0,0,8,2.0,0,1,11.0,6,1,2
6.0,0.0,15.0,3,21.0,3.0,6.0,3,3.0,1.0,1,3.0,7,2,0,1,8,7,2.0,1,28.0,0.0,1,8,20.0,23,1,95.0,1,1,0
11.0,-1.0,11.0,3,1239.0,25.0,14.0,16,188.0,1.0,3,3.0,4,2,1,0,9,6,1.0,0,45.0,85.0,8,8,270.0,1,0,5.0,1,0,5
0.0,26.0,2.0,2,2780.0,67.0,47.0,20,184.0,0.0,5,2.0,3,2,1,3,9,4,0.0,1,1.0,510.0,4,8,1.0,1,0,15.0,6,15,1
2.0,19.0,13.0,3,270.0,46.0,2.0,14,156.0,1.0,1,14.0,7,2,1,3,9,6,0.0,2,7.0,1160.0,4,3,0.0,1,2,41.0,1,2,3
0.0,0.0,2.0,6,4350.0,166.0,4.0,11,122.0,0.0,3,6.0,4,2,3,3,9,6,122.0,2,7.0,147.0,1,8,4.0,1,0,11.0,6,0,2
5.0,36.0,36.0,59,247.0,66.0,5.0,31,67.0,1.0,1,66.0,4,2,1,1,9,6,0.0,3,18.0,54.0,7,8,7.0,1,1,6.0,7,0,6
1.0,141.0,7.0,14,1126.0,14.0,1.0,14,14.0,1.0,1,14.0,9,2,1,3,9,1,12.0,1,6.0,41.0,5,8,0.0,0,0,2.0,7,1,1
3.0,28.0,1.0,2,14.0,2.0,3.0,2,2.0,1.0,1,2.0,4,2,0,3,9,7,18.0,1,38.0,7.0,0,3,21.0,4,1,2.0,9,5,2
3.0,0.0,1.0,0,2.0,0.0,3.0,0,0.0,1.0,1,0.0,3,2,0,1,1,6,38.0,1,2.0,5.0,1,3,1.0,1,0,0.0,7,3,11
0.0,0.0,49.0,22,8709.0,40.0,3.0,26,40.0,0.0,1,22.0,7,2,0,2,9,1,349.0,3,9.0,6.0,1,3,25.0,1,0,6.0,8,1,0
14.0,0.0,14.0,5,299.0,10.0,157.0,8,125.0,1.0,23,5.0,7,2,1,1,9,8,10.0,2,24.0,0.0,3,3,2.0,2,1,25.0,8,12,4
0.0,2.0,8.0,5,1671.0,161.0,13.0,42,198.0,0.0,2,5.0,7,2,1,3,9,8,8.0,3,8.0,0.0,1,5,178.0,1,1,15.0,6,1,1
1.0,3.0,38.0,6,201.0,59.0,1.0,48,56.0,1.0,1,51.0,0,2,1,1,9,6,7.0,3,34.0,12.0,1,5,0.0,3,1,1.0,5,12,1
0.0,0.0,55.0,12,1434.0,64.0,4.0,43,63.0,0.0,2,12.0,9,2,1,0,9,6,9.0,2,12.0,16.0,1,10,1.0,1,0,1.0,1,1,2
7.0,0.0,1.0,23,12.0,12.0,83.0,26,124.0,1.0,5,11.0,7,2,4,2,9,1,1.0,1,21.0,11.0,0,3,4.0,4,0,3.0,7,12,3
1.0,0.0,1.0,3,1452.0,27.0,5.0,4,6.0,0.0,2,3.0,4,2,1,3,9,5,8.0,2,4.0,11.0,1,8,0.0,2,1,28.0,6,1,1
30.0,65.0,1.0,5,33.0,4.0,275.0,4,33.0,1.0,19,4.0,3,2,6,3,9,7,2.0,3,0.0,5.0,1,8,4.0,1,0,16.0,6,1,0
2.0,10.0,2.0,2,532.0,2.0,2.0,19,19.0,1.0,1,2.0,7,2,0,0,8,6,36.0,3,2.0,247.0,0,0,8.0,0,1,2.0,7,0,6
4.0,1.0,1.0,4,2.0,0.0,4.0,6,7.0,2.0,2,0.0,0,2,1,2,9,6,3.0,3,11.0,25.0,6,8,34.0,1,1,0.0,6,3,1
2.0,434.0,38.0,9,872.0,9.0,16.0,11,10.0,1.0,2,9.0,3,2,1,0,9,4,0.0,3,13.0,88.0,6,8,1.0,0,1,9.0,7,0,4
0.0,-1.0,3.0,2,1319.0,9.0,119.0,2,99.0,0.0,8,2.0,7,2,1,2,1,6,0.0,3,3.0,22.0,8,8,3.0,0,2,1.0,7,1,1
4.0,15.0,2.0,4,1334.0,90.0,101.0,21,627.0,0.0,15,4.0,3,2,4,0,9,6,19.0,2,46.0,74.0,1,8,8.0,1,0,3.0,8,0,0
0.0,43.0,1.0,1,4235.0,411.0,7.0,14,85.0,0.0,1,1.0,4,2,1,3,1,7,4.0,0,15.0,11.0,0,8,8.0,2,0,65.0,7,1,2
0.0,47.0,7.0,1,5569.0,110.0,17.0,0,18.0,0.0,3,1.0,9,2,1,0,9,6,0.0,3,5.0,95.0,3,5,22.0,4,1,68.0,6,0,2
0.0,79.0,2.0,2,1474.0,67.0,1.0,5,8.0,0.0,1,2.0,4,2,7,3,9,7,0.0,0,5.0,38.0,1,8,134.0,0,0,2.0,8,2,1
1.0,1.0,24.0,1,1382.0,14.0,8.0,0,43.0,0.0,6,1.0,7,2,6,0,1,6,64.0,1,10.0,0.0,3,10,1.0,0,1,53.0,8,0,8
0.0,56.0,3.0,5,29387.0,224.0,3.0,12,116.0,0.0,1,6.0,9,2,1,3,9,6,76.0,3,0.0,6.0,8,10,1.0,0,1,5.0,6,5,9
3.0,0.0,1.0,0,27.0,0.0,7.0,10,15.0,1.0,2,0.0,0,2,1,2,9,6,20.0,0,14.0,6.0,5,3,660.0,1,2,10.0,8,1,4
2.0,1.0,47.0,28,97.0,45.0,2.0,39,39.0,1.0,1,39.0,5,2,1,2,8,6,1.0,2,8.0,27.0,4,8,33.0,12,2,17.0,6,7,0
11.0,21.0,30.0,18,56.0,21.0,11.0,37,35.0,2.0,2,21.0,3,2,1,1,9,8,0.0,0,13.0,387.0,1,10,2.0,4,2,3.0,7,5,0
15.0,-1.0,213.0,21,112.0,39.0,52.0,31,145.0,1.0,7,28.0,3,2,1,1,9,6,4.0,3,2.0,0.0,5,3,0.0,0,1,19.0,8,1,0
0.0,-1.0,12.0,10,1507.0,20.0,8.0,15,20.0,0.0,1,10.0,7,2,1,2,8,2,1.0,2,25.0,40.0,2,3,4.0,2,1,0.0,7,1,0
4.0,996.0,2.0,1,15.0,0.0,31.0,1,192.0,1.0,10,0.0,7,2,1,2,9,8,3.0,3,46.0,1.0,0,10,4.0,0,2,1.0,6,1,2
0.0,0.0,28.0,13,4171.0,97.0,22.0,42,318.0,0.0,8,14.0,7,2,1,2,9,5,6.0,0,24.0,101.0,1,7,9.0,0,0,0.0,8,1,1
0.0,17.0,35.0,6,43.0,219.0,6.0,9,126.0,0.0,3,6.0,3,2,0,2,9,6,0.0,0,14.0,22.0,1,3,6.0,0,1,35.0,6,1,3
8.0,149.0,115.0,7,34.0,7.0,83.0,13,52.0,1.0,20,7.0,7,2,1,1,9,6,15.0,3,2.0,4.0,1,3,21.0,2,3,2.0,7,5,1
0.0,307.0,45.0,4,5315.0,101.0,1.0,5,7.0,0.0,1,5.0,3,2,1,3,8,8,35.0,3,36.0,43.0,1,10,0.0,6,1,27.0,1,3,4
0.0,8.0,3.0,3,1481.0,78.0,8.0,36,38.0,0.0,1,3.0,3,2,1,3,9,9,1.0,0,3.0,35.0,1,3,27.0,1,0,0.0,2,1,2
0.0,23.0,1.0,8,1369.0,13.0,11.0,16,223.0,0.0,5,8.0,3,2,1,3,9,6,4.0,3,0.0,137.0,0,8,2.0,2,1,9.0,8,1,3
10.0,0.0,9.0,7,53.0,60.0,47.0,47,398.0,2.0,11,7.0,3,2,6,3,8,4,10.0,3,17.0,75.0,3,8,7.0,0,1,6.0,7,53,0
7.0,-1.0,24.0,10,5.0,0.0,7.0,6,11.0,2.0,2,0.0,3,2,1,1,9,6,122.0,3,13.0,0.0,1,5,0.0,1,0,38.0,6,2,9
4.0,43.0,16.0,8,1.0,4.0,4.0,7,8.0,1.0,1,4.0,4,2,1,1,9,5,16.0,0,11.0,13.0,5,10,0.0,2,1,190.0,6,5,3
0.0,13.0,16.0,16,3085.0,379.0,30.0,46,972.0,0.0,9,17.0,7,2,4,3,9,9,2.0,0,4.0,0.0,1,3,1.0,4,1,139.0,6,0,12
0.0,10.0,1.0,1,5135.0,109.0,52.0,17,413.0,0.0,14,1.0,9,2,1,3,9,1,2.0,3,21.0,8.0,0,8,8.0,0,0,23.0,8,1,16
6.0,88.0,3.0,3,72.0,3.0,21.0,9,84.0,1.0,3,3.0,4,2,1,3,1,6,3.0,1,21.0,340.0,5,10,2.0,5,1,89.0,6,1,0
0.0,-1.0,17.0,7,7007.0,123.0,2.0,8,40.0,0.0,1,7.0,7,2,0,1,9,8,184.0,2,27.0,0.0,2,8,6.0,1,1,31.0,2,1,0
0.0,1.0,5.0,4,5680.0,416.0,19.0,7,148.0,0.0,1,4.0,5,2,1,3,1,9,9.0,2,20.0,44.0,1,10,4.0,8,2,15.0,6,1,1
1.0,0.0,26.0,2,1.0,2.0,6.0,2,69.0,1.0,2,2.0,3,2,1,2,1,7,5.0,3,16.0,0.0,0,5,26.0,0,0,22.0,6,1,10
1.0,30.0,1.0,1,367.0,1.0,21.0,1,140.0,1.0,8,1.0,7,2,6,1,9,8,0.0,0,47.0,76.0,1,10,7.0,1,1,1.0,8,2,2
6.0,90.0,16.0,0,1.0,0.0,8.0,48,61.0,2.0,3,0.0,3,2,1,0,9,4,5.0,0,1.0,2.0,1,5,6.0,0,0,172.0,6,10,0
1.0,1.0,2.0,3,27.0,3.0,169.0,3,8.0,1.0,16,3.0,7,2,1,3,8,8,28.0,3,3.0,44.0,0,8,0.0,8,3,5.0,6,2,36
0.0,343.0,88.0,0,116.0,69.0,24.0,3,12.0,0.0,6,4.0,7,2,4,0,1,7,27.0,3,34.0,218.0,1,5,2.0,2,1,3.0,2,1,1
0.0,1.0,17.0,6,4190.0,37.0,3.0,6,68.0,0.0,2,6.0,4,2,0,1,5,7,24.0,2,8.0,62.0,1,3,4.0,1,0,0.0,6,1,5
1.0,28.0,4.0,1,82.0,5.0,15.0,5,177.0,1.0,7,4.0,7,2,1,3,9,1,5.0,1,1.0,29.0,1,3,1.0,0,0,72.0,6,3,1
0.0,11.0,24.0,4,2424.0,254.0,1.0,6,62.0,0.0,1,4.0,3,2,7,0,8,7,206.0,3,19.0,157.0,1,8,7.0,1,2,4.0,4,3,1
0.0,0.0,171.0,6,3083.0,72.0,34.0,30,84.0,0.0,2,28.0,9,2,1,2,9,6,10.0,3,11.0,14.0,1,5,1.0,1,1,8.0,2,1,23
0.0,5.0,6.0,10,7964.0,610.0,1.0,37,401.0,0.0,1,10.0,7,2,7,3,9,2,1.0,2,0.0,67.0,1,3,42.0,10,0,2.0,6,0,12
4.0,47.0,1.0,1,1425.0,1.0,39.0,2,19.0,0.0,5,1.0,4,2,1,3,9,10,19.0,3,5.0,84.0,1,5,30.0,0,0,1.0,7,1,1
3.0,0.0,15.0,8,707.0,33.0,3.0,33,26.0,1.0,1,8.0,4,2,1,1,9,7,0.0,3,1.0,70.0,0,3,27.0,2,1,1.0,4,2,5
0.0,0.0,38.0,16,8179.0,263.0,41.0,17,364.0,0.0,8,16.0,7,2,1,1,9,1,1.0,1,29.0,0.0,1,5,17.0,3,1,7.0,7,0,2
6.0,666.0,28.0,6,12.0,3.0,11.0,44,52.0,1.0,3,3.0,9,2,1,1,9,4,9.0,0,2.0,3.0,1,6,17.0,1,0,1.0,6,0,16
0.0,38.0,3.0,3,1447.0,70.0,8.0,24,71.0,0.0,2,3.0,9,2,1,0,9,6,11.0,3,2.0,0.0,1,3,3.0,2,0,9.0,8,4,2
1.0,55.0,8.0,4,0.0,0.0,76.0,5,509.0,1.0,17,0.0,7,2,1,1,9,1,3.0,3,8.0,51.0,1,10,9.0,5,0,52.0,6,0,1
2.0,16.0,1.0,1,743.0,150.0,15.0,48,732.0,1.0,9,1.0,4,2,4,3,9,6,3.0,3,6.0,86.0,1,5,9.0,4,0,0.0,6,1,1
10.0,-1.0,1.0,3,145.0,5.0,18.0,13,20.0,1.0,3,3.0,3,2,1,3,8,8,104.0,0,0.0,10.0,6,8,3.0,1,1,42.0,4,0,1
0.0,4.0,199.0,3,8220.0,140.0,12.0,15,119.0,0.0,3,3.0,7,2,1,0,9,6,0.0,0,2.0,456.0,1,5,207.0,1,1,12.0,8,1,3
0.0,27.0,19.0,4,1620.0,55.0,2.0,8,33.0,0.0,1,4.0,3,2,3,0,9,6,10.0,0,0.0,3.0,1,8,6.0,1,1,17.0,7,7,0
2.0,1.0,8.0,3,1.0,0.0,111.0,4,12.0,1.0,8,0.0,9,2,1,2,9,6,2.0,1,2.0,33.0,0,8,63.0,4,0,6.0,8,1,2
2.0,1675.0,4.0,2,315.0,4.0,2.0,4,4.0,1.0,1,4.0,7,2,0,2,9,4,0.0,0,7.0,16.0,1,8,1.0,0,0,0.0,6,1,0
7.0,0.0,2.0,4,1404.0,10.0,102.0,6,167.0,0.0,16,4.0,3,2,1,3,9,6,3.0,0,2.0,10.0,8,8,1.0,2,1,0.0,4,2,5
3.0,47.0,39.0,27,7.0,10.0,12.0,33,579.0,1.0,5,5.0,7,2,6,0,9,6,46.0,0,24.0,264.0,1,8,17.0,28,0,0.0,8,2,3
1.0,19.0,2.0,9,806.0,9.0,13.0,18,43.0,1.0,2,9.0,3,2,1,3,9,9,2.0,3,19.0,352.0,1,8,11.0,2,1,10.0,9,1,2
2.0,1.0,9.0,6,1412.0,6.0,11.0,6,27.0,0.0,2,6.0,3,2,1,2,9,7,16.0,2,8.0,1.0,8,8,15.0,15,1,0.0,6,1,0
0.0,0.0,3.0,1,18586.0,151.0,7.0,7,14.0,0.0,1,3.0,0,2,0,3,9,7,5.0,2,37.0,42.0,0,3,0.0,0,2,135.0,7,10,1
0.0,80.0,4.0,1,380.0,1.0,15.0,1,20.0,0.0,6,1.0,3,2,1,1,9,6,2.0,3,29.0,74.0,1,8,0.0,0,2,3.0,6,1,6
2.0,98.0,24.0,8,18.0,8.0,2.0,8,8.0,1.0,1,8.0,9,2,0,2,9,6,67.0,3,18.0,1.0,8,8,6.0,2,0,2.0,6,0,1
5.0,101.0,39.0,17,1.0,0.0,71.0,34,107.0,1.0,12,0.0,3,2,6,2,9,1,0.0,3,7.0,427.0,1,10,0.0,0,1,3.0,6,1,0
2.0,-1.0,281.0,36,7.0,19.0,2.0,33,42.0,2.0,2,19.0,7,2,0,1,9,1,0.0,3,3.0,0.0,1,8,22.0,1,1,0.0,8,2,1
1.0,105.0,2.0,1,1334.0,35.0,8.0,23,25.0,0.0,2,1.0,4,2,1,1,8,6,6.0,2,17.0,40.0,2,8,2.0,4,1,0.0,6,1,3
29.0,444.0,2.0,2,7.0,0.0,59.0,34,1656.0,2.0,12,0.0,7,2,1,2,8,6,11.0,0,28.0,22.0,0,5,11.0,0,0,0.0,6,1,1
1.0,5.0,2.0,1,5.0,1.0,16.0,6,135.0,1.0,11,1.0,7,2,1,0,9,5,5.0,3,5.0,319.0,1,7,1.0,3,1,7.0,9,1,3
6.0,2.0,62.0,13,14.0,66.0,16.0,13,25.0,2.0,5,12.0,9,2,1,0,9,8,1.0,2,20.0,92.0,0,8,14.0,0,2,2.0,6,1,1
24.0,114.0,2.0,12,31.0,10.0,276.0,14,115.0,2.0,34,10.0,3,2,3,3,8,7,21.0,3,13.0,17.0,1,6,3.0,1,1,1.0,6,9,4
