Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile
1,19,13,0,0,0,0,38,7,2982.0,2,3,535010.0,177420.0,-0.0572,51.479633,1,2,1,8.0,2.0,0.0,0,2,1,0,61,9,0,0,1,4
1,9,18,0,0,9,0,24,5,1598.0,1,4,354770.0,470010.0,-2.69355,54.123948,4,1,1,76.0,6254.0,0.0,1,1,1,1,30,6,0,0,9,8
1,11,3,0,0,0,0,50,8,4500.0,2,4,521590.0,180910.0,-0.249149,51.514039,1,3,2,27.0,40.0,0.0,0,2,1,0,60,9,0,0,9,2
1,9,7,0,0,0,0,51,8,1991.0,1,12,356396.0,168576.0,-2.628385,51.414515,52,2,1,601.0,0.0,0.0,1,1,1,1,51,8,0,0,9,2
2,5,18,0,0,0,0,58,9,1137.0,1,14,332170.0,438970.0,-3.032372,53.842526,4,2,1,71.0,587.0,0.0,0,2,1,0,58,9,0,0,5,5
1,9,9,0,0,0,0,34,6,1896.0,2,10,342670.0,266700.0,-2.842048,52.295422,22,2,4,285.0,4110.0,0.0,1,2,4,0,21,5,0,0,9,5
2,9,3,0,0,0,0,30,6,1124.0,1,8,517690.0,179050.0,-0.305945,51.498148,1,3,1,27.0,455.0,4491.0,0,2,1,0,30,6,0,0,9,6
2,9,18,0,0,0,0,47,8,1991.0,2,12,405900.0,286220.0,-1.914568,52.47388100000001,20,2,5,300.0,0.0,0.0,0,2,5,0,47,8,0,0,9,7
2,9,9,0,0,0,0,78,11,1997.0,2,13,543260.0,165270.0,0.056615,51.368428,1,2,1,19.0,232.0,0.0,0,1,1,0,47,8,0,0,9,7
3,9,18,0,0,0,0,20,4,1598.0,2,3,375870.0,402740.0,-2.365411,53.520771,6,3,3,107.0,60.0,61.0,1,2,2,0,46,8,0,0,21,1
2,9,3,0,0,0,0,42,7,1398.0,2,4,333855.0,160788.0,-2.951018,51.342311,52,3,2,605.0,370.0,0.0,1,2,2,1,42,7,0,0,9,1
1,9,18,0,0,0,0,34,6,1896.0,2,6,449630.0,385159.0,-1.255716,53.360984,14,3,1,213.0,6463.0,57.0,1,3,1,1,41,7,0,0,9,4
3,9,10,0,0,0,0,35,6,998.0,1,6,433681.0,551351.0,-1.476895,54.855826,10,3,4,150.0,182.0,517.0,0,2,2,1,27,6,0,0,9,3
2,11,18,0,0,0,0,63,9,7300.0,2,8,392250.0,296560.0,-2.115769,52.566811,20,2,2,309.0,4039.0,4123.0,0,1,1,1,33,6,0,0,9,6
2,9,11,0,0,0,0,66,10,1386.0,1,9,535040.0,169530.0,-0.059776,51.408723,1,2,1,19.0,214.0,213.0,0,2,1,1,66,10,0,0,9,2
1,9,9,0,0,0,0,43,7,3600.0,1,13,362124.0,179984.0,-2.547251,51.517498,52,2,1,612.0,0.0,0.0,0,2,1,0,47,8,0,0,9,6
2,9,4,0,0,0,0,22,5,1229.0,1,2,398390.0,308650.0,-2.025248,52.675551,21,2,1,250.0,34.0,49.0,0,1,1,1,37,7,0,0,9,3
2,9,17,0,0,0,0,62,9,1399.0,2,3,563967.0,317430.0,0.426787,52.72965500000001,36,3,5,407.0,47.0,0.0,1,2,2,1,34,6,0,0,9,2
1,9,7,0,0,0,0,50,8,2204.0,2,9,384941.0,381818.0,-2.227591,53.333055,7,2,1,129.0,5166.0,5166.0,0,2,1,0,24,5,0,0,1,9
1,9,18,0,0,0,0,57,9,1686.0,2,5,376313.0,181156.0,-2.342847,51.528812,52,2,2,612.0,46.0,4040.0,1,2,2,1,27,6,0,0,9,7
1,9,2,0,0,0,0,47,8,1598.0,2,4,439417.0,414267.0,-1.405522,53.623463,13,2,2,206.0,6428.0,0.0,1,2,2,0,29,6,0,0,9,1
2,9,3,0,0,0,0,80,11,1229.0,1,2,333356.0,384105.0,-3.002605,53.34961600000001,5,4,5,95.0,5136.0,0.0,0,4,5,1,82,11,6,5,0,7
1,9,18,0,0,0,0,22,5,1360.0,1,8,379570.0,418790.0,-2.310664,53.665188,4,3,2,82.0,56.0,682.0,1,2,2,1,39,7,0,0,9,3
1,9,18,0,0,0,0,34,6,1761.0,1,18,247420.0,54418.0,-4.146897,50.369827,50,3,3,583.0,0.0,0.0,0,2,3,1,16,4,0,0,9,1
1,9,18,0,0,0,0,81,11,1493.0,2,4,356110.0,430930.0,-2.667415,53.772848,4,3,3,79.0,6243.0,0.0,0,3,3,1,66,10,0,0,9,1
24,9,18,0,0,0,0,59,9,1998.0,1,9,455113.0,220016.0,-1.200828,51.875998,43,37,36,481.0,40.0,0.0,1,3,24,1,52,8,0,0,9,5
2,9,16,0,0,0,0,55,8,2204.0,2,9,486455.0,166631.0,-0.758813,51.392142,43,3,3,470.0,7002.0,0.0,0,1,1,0,25,5,0,0,9,7
2,9,18,0,0,0,0,49,8,1685.0,2,4,454404.0,384026.0,-1.184184,53.350333,14,2,2,213.0,0.0,0.0,1,2,1,1,49,8,0,0,9,8
2,9,9,0,0,0,0,20,4,1398.0,2,7,534870.0,176210.0,-0.059676,51.468793,1,2,1,8.0,0.0,0.0,0,1,1,0,26,6,0,0,1,3
2,9,4,0,0,0,0,72,10,1910.0,2,7,415903.0,437815.0,-1.759826,53.836349,13,3,1,200.0,657.0,0.0,0,1,1,1,17,4,0,0,9,8
5,9,18,0,0,0,0,61,9,1596.0,1,7,271393.0,127313.0,-3.835402,51.030751,50,5,8,582.0,361.0,0.0,1,2,6,1,17,4,0,0,9,9
1,9,18,0,0,0,0,25,5,2979.0,1,6,408080.0,286270.0,-1.882473,52.474303000000006,20,2,1,300.0,4100.0,0.0,0,2,1,1,35,6,0,0,9,9
2,9,7,0,0,0,0,47,8,1598.0,1,11,420998.0,563553.0,-1.673561,54.966165,10,2,1,147.0,695.0,1562.0,1,2,1,1,47,8,0,0,9,1
2,21,11,0,0,0,0,60,9,12809.0,2,2,447829.0,386181.0,-1.282622,53.370336,14,2,1,213.0,1.0,0.0,1,1,1,0,44,7,0,0,9,7
2,9,4,0,0,0,0,22,5,1388.0,1,11,358700.0,417310.0,-2.626298,53.65065,4,2,1,73.0,6.0,6288.0,0,2,1,1,22,5,0,0,9,1
2,9,18,0,0,0,0,50,8,1995.0,1,15,561639.0,180593.0,0.327407,51.501164,42,2,3,462.0,0.0,0.0,0,1,1,0,18,4,0,0,9,5
2,9,18,0,0,0,0,28,6,1229.0,1,6,384780.0,432220.0,-2.232482,53.786075,4,2,1,72.0,0.0,0.0,0,2,1,1,28,6,0,0,9,8
1,9,7,0,0,0,0,26,6,1242.0,1,12,532440.0,166690.0,-0.098195,51.383813,1,2,1,20.0,212.0,212.0,0,1,1,1,26,6,0,0,9,3
1,19,18,0,0,0,0,41,7,1753.0,2,11,402670.0,249050.0,-1.962403,52.13974,22,2,2,277.0,0.0,0.0,1,1,2,0,20,4,0,0,19,6
1,9,4,0,0,0,0,35,6,1242.0,1,9,537330.0,182840.0,-0.021704,51.527779,1,2,1,5.0,11.0,0.0,0,1,1,1,35,6,0,0,9,2
1,9,18,0,0,4,0,27,6,1364.0,1,7,454381.0,208084.0,-1.21333,51.7688,43,2,4,482.0,40.0,0.0,1,1,2,0,4,1,0,0,9,9
1,9,3,0,0,0,0,68,10,1248.0,1,6,513510.0,175010.0,-0.367433,51.462691,1,2,1,25.0,0.0,0.0,0,1,1,0,68,10,0,0,9,4
1,9,5,0,0,0,0,79,11,1598.0,1,2,337110.0,442430.0,-2.958016,53.87424300000001,4,2,2,85.0,588.0,0.0,1,2,1,1,31,6,0,0,9,5
2,9,18,0,0,0,0,28,6,1595.0,1,6,454531.0,520602.0,-1.157901,54.577696,17,2,1,241.0,66.0,112.0,1,1,1,0,56,9,0,0,1,1
1,9,9,0,0,2,0,28,6,1995.0,2,1,337117.0,399223.0,-2.949136,53.485947,5,1,1,93.0,0.0,0.0,0,1,1,1,28,6,0,0,9,6
1,9,1,0,0,0,0,18,4,999.0,1,1,454126.0,273508.0,-1.206676,52.356969,23,2,2,292.0,428.0,0.0,0,1,1,1,18,4,0,0,9,8
2,9,4,0,0,0,0,17,4,1199.0,1,14,487295.0,409453.0,-0.683146,53.574424,16,2,5,232.0,0.0,0.0,0,2,2,1,17,4,0,0,9,3
3,9,18,0,0,0,0,50,8,1560.0,2,1,524960.0,189410.0,-0.197592,51.589694,1,4,2,30.0,406.0,0.0,0,3,2,0,50,8,0,0,9,6
1,9,17,0,0,11,0,20,4,1229.0,1,5,417371.0,460144.0,-1.736258,54.036988,12,1,1,182.0,2469.0,0.0,1,1,1,1,20,4,0,0,9,7
2,9,9,0,0,0,0,24,5,1998.0,1,12,438840.0,409245.0,-1.4148690000000002,53.578369,14,2,1,210.0,0.0,0.0,0,2,1,1,24,5,0,0,9,3
2,9,9,0,0,0,0,18,4,1598.0,2,3,440331.0,403279.0,-1.393119,53.524636,14,2,4,210.0,6096.0,0.0,0,1,4,0,24,5,0,0,9,1
1,9,18,0,0,0,0,31,6,1910.0,2,10,418534.0,430570.0,-1.72028,53.771145,13,2,2,200.0,650.0,0.0,0,2,2,1,60,9,0,0,9,2
1,9,18,0,0,4,0,49,8,1339.0,1,12,526513.0,222245.0,-0.163261,51.884419,41,1,2,435.0,532.0,479.0,1,1,1,1,49,8,0,0,9,6
1,9,18,0,0,0,0,85,11,1598.0,1,14,621757.0,310367.0,1.276533,52.645685,36,1,1,404.0,1024.0,0.0,0,1,1,0,28,6,1,3,0,3
1,9,11,0,0,0,0,45,7,1781.0,1,11,408901.0,425758.0,-1.866569,53.728147,13,3,4,202.0,629.0,0.0,0,2,3,0,24,5,0,0,9,1
3,9,2,0,0,0,0,45,7,1840.0,1,13,426920.0,372250.0,-1.5980370000000002,53.246591,30,3,5,329.0,619.0,0.0,1,3,5,1,45,7,0,0,9,6
1,9,18,0,0,0,0,23,5,1586.0,1,8,455706.0,340142.0,-1.172245,52.955769,31,3,1,346.0,609.0,0.0,0,1,1,0,23,5,0,0,9,9
1,11,17,0,0,0,0,47,8,6700.0,2,8,529640.0,180670.0,-0.133292,51.510095,1,1,1,1.0,4.0,4201.0,0,1,1,0,30,6,1,1,0,8
1,9,17,0,0,10,0,20,4,1124.0,1,11,432870.0,265324.0,-1.519565,52.285079,23,1,5,294.0,425.0,0.0,0,1,1,0,20,4,0,0,9,6
2,9,4,0,0,0,1,39,7,1997.0,2,7,553555.0,372163.0,0.298683,53.224322,32,2,4,351.0,52.0,0.0,1,1,2,1,13,3,0,0,8,2
2,9,4,0,0,0,0,29,6,1242.0,1,11,361372.0,391991.0,-2.582742,53.42329,7,5,3,128.0,62.0,0.0,1,1,2,1,17,4,0,0,9,5
2,21,16,0,0,0,0,55,8,10837.0,2,4,398540.0,286970.0,-2.022926,52.480652,20,2,3,305.0,4169.0,0.0,0,1,1,0,26,6,0,0,9,3
1,9,18,0,0,0,0,37,7,1596.0,1,12,584145.0,206617.0,0.66497,51.728023,42,2,2,458.0,414.0,0.0,1,1,1,1,37,7,0,0,9,7
1,9,18,0,0,0,0,22,5,1984.0,1,14,368970.0,422590.0,-2.471461,53.698818,4,2,2,70.0,666.0,0.0,0,2,2,1,75,10,0,0,9,2
4,9,18,0,0,0,0,23,5,1242.0,1,12,581020.0,186989.0,0.609627,51.552744,42,4,3,453.0,13.0,0.0,0,1,2,1,10,2,5,1,0,4
2,9,16,0,0,0,0,53,8,1870.0,2,10,381600.0,436910.0,-2.281028,53.828125,4,3,4,77.0,6068.0,0.0,1,2,2,0,53,8,0,0,9,2
1,8,6,0,0,0,0,52,8,1339.0,8,4,529400.0,183100.0,-0.135857,51.531987,1,2,1,2.0,4200.0,0.0,0,2,1,0,50,8,0,0,4,4
2,9,18,0,0,0,0,55,8,1596.0,1,1,333152.0,416870.0,-3.0126630000000003,53.644049,5,2,1,93.0,0.0,565.0,0,2,1,0,55,8,0,0,9,2
1,9,11,0,0,7,0,80,11,1560.0,2,7,445170.0,368980.0,-1.325022,53.215965,30,3,1,327.0,1.0,0.0,1,1,1,0,80,11,0,0,9,7
1,9,7,0,0,0,0,42,7,1997.0,2,2,421233.0,303650.0,-1.687728,52.630194,21,2,1,258.0,5000.0,51.0,1,2,1,0,29,6,0,0,1,7
2,19,18,0,0,0,0,63,9,1997.0,2,10,252800.0,88831.0,-4.084889,50.680469,50,2,2,589.0,386.0,0.0,1,1,1,1,28,6,0,0,9,7
2,9,3,0,0,0,0,29,6,1997.0,2,4,612728.0,242142.0,1.100119,52.036854,37,2,3,410.0,1214.0,14.0,1,2,1,1,29,6,0,0,9,9
2,9,3,0,0,0,0,61,9,1248.0,2,9,459072.0,307699.0,-1.128001,52.663799,33,3,2,364.0,1768.0,6.0,1,2,2,0,31,6,0,0,9,1
2,9,4,0,0,0,0,57,9,1329.0,1,4,195096.0,76686.0,-4.8939900000000005,50.553931,50,2,1,596.0,0.0,0.0,1,2,1,1,57,9,0,0,9,2
2,8,3,0,0,0,0,44,7,1997.0,2,3,538840.0,181210.0,-0.000592,51.512763,1,3,1,5.0,13.0,1268.0,0,2,1,0,44,7,0,0,8,3
3,21,4,0,2,0,0,48,8,3920.0,2,8,405400.0,294650.0,-1.921795,52.549671,20,3,2,305.0,6.0,0.0,1,2,1,0,45,7,0,0,21,7
2,9,18,0,0,0,0,55,8,1995.0,2,11,217398.0,93478.0,-4.587789,50.71218,50,2,2,596.0,39.0,3263.0,1,2,2,1,54,8,0,0,9,5
2,9,18,0,0,0,0,24,5,1461.0,2,8,319470.0,469730.0,-3.233485,54.117108,3,2,1,61.0,0.0,0.0,0,2,1,1,24,5,0,0,9,2
1,9,12,0,0,0,0,22,5,1229.0,1,4,476722.0,258522.0,-0.878358,52.219575,34,2,2,384.0,45.0,0.0,1,2,1,0,59,9,0,0,9,4
1,9,9,0,0,0,0,36,7,1796.0,1,3,523030.0,272430.0,-0.195724,52.336166,35,2,1,393.0,0.0,0.0,0,2,1,0,11,3,0,0,1,10
2,9,18,0,0,0,0,50,8,2143.0,2,1,447627.0,519249.0,-1.264916,54.566233,17,3,2,243.0,6541.0,0.0,0,2,1,1,50,8,0,0,9,7
1,9,11,0,0,0,0,30,6,1400.0,1,15,423106.0,566163.0,-1.6404279999999998,54.989526,10,2,5,147.0,167.0,189.0,0,2,4,1,37,7,0,0,9,9
1,19,9,0,0,0,0,31,6,2198.0,2,8,522230.0,305930.0,-0.195179,52.637359,35,2,2,394.0,1443.0,0.0,1,2,2,0,16,4,0,0,4,3
2,9,3,0,0,0,0,30,6,1198.0,1,7,520930.0,193130.0,-0.254454,51.624004,1,3,1,30.0,1.0,0.0,0,2,1,1,24,5,0,0,9,3
2,9,4,0,0,0,0,32,6,1796.0,1,13,472773.0,170728.0,-0.95458,51.430892,43,2,1,472.0,7201.0,7201.0,0,2,1,1,32,6,0,0,9,3
1,9,17,0,0,0,0,31,6,1900.0,2,8,398032.0,306591.0,-2.030529,52.65704,21,2,4,254.0,49.0,50.0,0,2,2,0,73,10,0,0,9,8
2,9,18,0,10,10,0,42,7,1329.0,1,6,454126.0,273508.0,-1.206676,52.356969,23,2,2,292.0,428.0,0.0,0,1,1,1,18,4,0,0,9,8
1,9,3,0,0,0,0,36,7,1560.0,2,1,507700.0,427678.0,-0.368805,53.73438,16,2,1,228.0,0.0,0.0,0,1,1,1,36,7,0,0,9,8
1,11,5,0,0,0,0,62,9,6700.0,2,5,435922.0,561991.0,-1.440666,54.95128100000001,10,1,1,149.0,1298.0,3015.0,1,1,1,1,38,7,0,0,11,1
1,9,4,0,0,0,0,53,8,2497.0,2,8,535490.0,163930.0,-0.055444000000000014,51.358292,1,2,2,20.0,212.0,212.0,0,1,1,0,53,8,0,0,9,5
2,19,17,0,0,0,0,27,6,1560.0,2,2,553400.0,190520.0,0.213126,51.592649,1,2,1,15.0,12.0,127.0,0,2,1,1,27,6,0,0,19,6
1,19,18,0,0,0,0,20,4,2198.0,2,8,367278.0,354975.0,-2.490052,53.090975,7,4,2,129.0,530.0,0.0,1,1,1,1,76,11,0,0,19,5
1,9,12,0,0,0,0,22,5,1229.0,1,4,476722.0,258522.0,-0.878358,52.219575,34,2,2,384.0,45.0,0.0,1,2,2,1,56,9,0,0,9,4
1,9,1,0,0,0,0,24,5,1896.0,2,8,443965.0,391135.0,-1.340003,53.415197,14,1,1,213.0,0.0,0.0,0,1,1,1,83,11,6,9,0,3
1,3,18,0,0,0,0,57,9,108.0,1,2,528990.0,174590.0,-0.144872,51.455604,1,2,1,9.0,24.0,0.0,0,1,1,0,57,9,0,0,3,7
3,9,18,0,0,0,0,22,5,1242.0,1,1,447441.0,518887.0,-1.267851,54.562998,17,3,2,243.0,66.0,19.0,1,2,1,0,28,6,0,0,9,3
2,9,16,0,0,0,0,51,8,1905.0,2,16,648639.0,290559.0,1.658233,52.456337,37,3,5,416.0,146.0,0.0,1,1,2,1,44,7,0,0,9,5
1,9,3,0,0,0,0,22,5,1299.0,1,12,436877.0,395524.0,-1.446125,53.455187,14,2,1,215.0,629.0,1.0,1,1,1,1,22,5,0,0,9,9
2,3,9,0,0,0,0,18,4,124.0,1,4,343734.0,391846.0,-2.848106,53.420397,5,2,1,90.0,0.0,57.0,0,2,2,0,18,4,0,0,3,2
2,9,3,0,0,0,0,57,9,998.0,1,6,429403.0,556378.0,-1.543018,54.901268,10,2,2,150.0,1231.0,0.0,0,2,2,1,81,11,0,0,9,7
1,9,9,0,0,0,0,47,8,1997.0,1,10,428097.0,434512.0,-1.574835,53.806149,13,2,2,204.0,0.0,0.0,0,2,2,1,26,6,0,0,9,5
1,9,18,0,0,0,0,21,5,2687.0,1,9,437458.0,433290.0,-1.432845,53.79457900000001,13,1,1,204.0,63.0,0.0,0,1,1,1,75,10,1,3,0,9
