Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile
1,9,4,0,0,0,0,28,6,1998.0,1,6,438253.0,385348.0,-1.426635,53.363626,14,2,1,215.0,6102.0,0.0,0,2,1,1,53,8,0,0,9,7
1,9,9,0,0,0,0,39,7,1390.0,1,14,484129.0,237059.0,-0.775259,52.025577,43,2,2,479.0,8006.0,1085.0,0,1,1,1,39,7,0,0,9,5
3,9,4,0,0,0,0,44,7,1998.0,2,9,464128.0,455236.0,-1.023443,53.9892,12,3,3,189.0,64.0,0.0,1,2,1,1,17,4,0,0,9,10
2,9,17,0,0,0,0,21,5,1389.0,1,9,515370.0,187800.0,-0.336487,51.577267,1,2,1,29.0,404.0,0.0,0,2,1,0,21,5,0,0,9,10
2,9,18,0,0,0,0,40,7,1390.0,1,14,424673.0,400844.0,-1.629487,53.503715,14,2,2,210.0,0.0,0.0,1,1,1,1,24,5,0,0,9,1
2,9,18,0,0,0,0,33,6,1246.0,1,7,401160.0,293850.0,-1.984327,52.542504,20,3,3,305.0,4031.0,0.0,0,2,2,1,12,3,0,0,9,2
1,9,16,0,0,1,0,18,4,1149.0,1,7,579031.0,186719.0,0.580832,51.550953,42,1,1,453.0,1014.0,0.0,0,1,1,0,18,4,0,0,9,5
1,9,16,0,0,0,0,31,6,1587.0,1,14,397916.0,308172.0,-2.032255,52.671252,21,1,1,250.0,460.0,0.0,1,1,1,1,31,6,0,0,9,1
1,9,9,0,0,0,0,77,11,1339.0,1,2,457987.0,106454.0,-1.177574,50.854702,44,1,1,492.0,0.0,0.0,0,1,1,0,64,9,5,1,0,8
1,9,18,0,0,0,0,32,6,1248.0,2,7,431726.0,416338.0,-1.521588,53.642598,13,2,1,206.0,0.0,0.0,0,1,1,1,32,6,0,0,9,9
1,9,13,0,0,0,0,40,7,2402.0,2,8,284038.0,85164.0,-3.641804,50.654577,50,3,2,585.0,3193.0,0.0,1,3,2,0,35,6,0,0,1,2
1,9,9,0,0,0,0,67,10,1997.0,2,11,530350.0,160250.0,-0.13056900000000002,51.326421,1,2,1,20.0,23.0,2030.0,0,2,1,0,28,6,0,0,1,4
1,21,18,0,0,0,0,27,6,12900.0,2,6,356980.0,424940.0,-2.653379,53.719086,4,2,1,83.0,0.0,0.0,0,2,1,0,41,7,0,0,9,7
2,9,18,0,0,0,0,66,10,996.0,1,6,383311.0,218951.0,-2.243792,51.868882,53,3,1,623.0,430.0,0.0,0,2,1,1,66,10,0,0,9,6
2,9,18,0,0,0,0,46,8,1598.0,1,13,546250.0,174590.0,0.103378,51.451412,1,2,1,18.0,0.0,0.0,0,1,1,0,23,5,0,0,9,1
2,5,18,0,0,0,0,41,7,992.0,1,9,353252.0,383237.0,-2.703624,53.343951,7,2,1,124.0,0.0,0.0,0,2,1,0,41,7,0,0,5,4
2,9,2,0,0,0,0,59,9,1598.0,1,6,349040.0,311680.0,-2.755557,52.700383,22,2,1,286.0,0.0,0.0,0,1,1,0,22,5,0,0,1,7
1,9,18,0,0,0,0,32,6,1560.0,2,8,299814.0,93166.0,-3.420882,50.729445,50,2,1,580.0,30.0,0.0,1,1,1,0,32,6,0,0,9,4
1,5,7,0,0,0,0,72,10,1170.0,1,1,499077.0,433906.0,-0.4974770000000001,53.792045,16,1,2,231.0,0.0,0.0,1,1,2,1,72,10,0,0,5,10
2,9,18,0,0,0,0,71,10,1994.0,1,13,369539.0,81808.0,-2.432086,50.635164,55,3,4,646.0,3155.0,0.0,0,1,4,0,90,11,0,0,9,4
2,9,4,0,0,0,0,46,8,1896.0,2,13,549380.0,172920.0,0.14768499999999998,51.43559000000001,1,2,3,18.0,223.0,0.0,1,2,3,0,10,2,0,0,9,6
1,9,9,0,0,0,0,52,8,1986.0,1,6,547200.0,221860.0,0.136933,51.875888,41,2,1,432.0,1250.0,1597.0,0,1,1,0,52,8,0,0,9,10
1,9,9,0,0,0,0,39,7,1997.0,2,11,468818.0,455059.0,-0.951967,53.987007,12,3,3,185.0,166.0,0.0,1,2,2,1,88,11,0,0,9,7
1,3,18,0,10,2,0,77,11,102.0,1,8,440013.0,286777.0,-1.412304,52.477461,23,1,1,291.0,4109.0,0.0,0,1,1,0,77,11,0,0,3,7
1,9,18,0,0,0,0,64,9,1598.0,1,9,435680.0,395310.0,-1.464174,53.453346,14,1,1,215.0,6135.0,0.0,0,1,1,1,13,3,1,1,0,2
1,9,9,0,0,0,0,59,9,1461.0,2,2,431748.0,431422.0,-1.519715,53.77816800000001,13,2,2,204.0,639.0,0.0,0,2,2,1,20,4,0,0,9,1
1,9,18,0,0,0,0,22,5,1598.0,1,11,428380.0,363160.0,-1.576963,53.164809,30,3,1,329.0,5057.0,0.0,0,1,1,1,22,5,0,0,9,7
1,9,3,0,0,0,0,23,5,1349.0,1,5,460427.0,525292.0,-1.065736,54.61916899999999,17,3,1,241.0,102.0,0.0,0,2,1,0,54,8,0,0,9,2
2,9,18,0,0,0,0,24,5,1984.0,1,8,334580.0,396463.0,-2.986788,53.460833,5,3,1,93.0,566.0,5090.0,0,3,1,1,39,7,0,0,9,5
1,90,18,0,0,1,0,35,6,2999.0,2,4,389370.0,398220.0,-2.161644,53.480593000000006,6,2,2,110.0,662.0,0.0,0,1,2,1,33,6,0,0,90,4
1,9,18,0,0,0,0,77,11,1198.0,1,9,406561.0,412868.0,-1.902303,53.612324,13,2,2,203.0,62.0,0.0,1,1,1,0,77,11,0,0,9,6
3,9,18,0,0,0,0,56,9,1796.0,1,20,382060.0,389260.0,-2.271277,53.399857,6,3,2,102.0,560.0,0.0,0,2,2,1,51,8,0,0,9,1
1,9,3,0,0,0,0,36,7,1998.0,1,9,335980.0,417249.0,-2.969969,53.64781,5,2,2,93.0,0.0,0.0,0,1,2,1,8,2,0,0,9,6
2,2,18,0,0,0,0,16,4,49.0,1,12,392070.0,392370.0,-2.12081,53.42805799999999,6,2,1,109.0,6017.0,0.0,0,2,1,0,16,4,0,0,2,4
1,9,5,0,0,0,0,49,8,1560.0,2,2,374680.0,429110.0,-2.3855150000000003,53.757728,4,2,1,75.0,6185.0,6231.0,0,2,1,1,26,6,0,0,9,1
3,9,3,0,0,0,0,76,11,1339.0,1,1,437384.0,564548.0,-1.417509,54.97415,10,4,5,149.0,1018.0,0.0,0,3,3,0,76,11,0,0,9,1
1,9,9,0,0,0,1,58,9,1398.0,1,3,362754.0,391208.0,-2.5618540000000003,53.416352,7,3,3,128.0,0.0,0.0,0,1,1,1,58,9,0,0,9,2
2,9,9,0,0,0,0,57,9,1248.0,1,3,548430.0,188890.0,0.140744,51.579333,1,2,1,16.0,1112.0,0.0,0,1,1,1,49,8,0,0,9,4
1,9,18,0,0,0,0,69,10,1598.0,1,13,507304.0,247509.0,-0.43433,52.1155,40,4,2,420.0,600.0,0.0,1,2,2,0,27,6,0,0,9,6
3,9,3,0,0,0,0,38,7,1461.0,2,3,448808.0,419513.0,-1.262728,53.669822,13,3,3,206.0,1.0,1.0,1,2,2,0,28,6,0,0,9,3
2,9,16,0,0,0,0,20,4,1998.0,1,11,448477.0,245562.0,-1.293612,52.106272,43,2,2,481.0,361.0,0.0,1,2,2,0,20,4,0,0,9,8
2,9,18,0,0,0,0,41,7,1998.0,2,8,414578.0,434318.0,-1.780125,53.804957,13,2,1,200.0,6144.0,0.0,0,1,1,1,30,6,0,0,9,3
1,9,4,0,0,11,0,59,9,1956.0,2,2,349848.0,376950.0,-2.753751,53.28713199999999,7,1,1,130.0,56.0,0.0,1,1,1,0,28,6,0,0,9,3
1,9,18,0,0,0,0,25,5,1896.0,2,8,472392.0,518201.0,-0.8822260000000001,54.553885,17,2,1,241.0,174.0,0.0,1,1,1,0,25,5,0,0,9,5
2,9,4,0,0,0,0,27,6,1997.0,2,4,489699.0,235296.0,-0.694561,52.008859,43,2,5,479.0,9009.0,0.0,0,1,3,1,5,1,0,0,9,9
1,9,18,0,0,0,0,66,10,1199.0,1,15,525620.0,166230.0,-0.196309,51.381228,1,2,2,21.0,217.0,0.0,0,1,1,1,66,10,0,0,9,9
2,9,16,0,4,0,0,24,5,1995.0,2,3,454612.0,203625.0,-1.210682,51.72869,43,4,1,482.0,320.0,0.0,0,2,1,0,24,5,0,0,9,5
4,9,17,0,0,0,0,57,9,1794.0,1,8,482086.0,194239.0,-0.815171,51.640973,43,5,4,480.0,40.0,2084.0,1,3,4,1,39,7,0,0,9,10
2,9,18,0,0,0,0,64,9,1560.0,2,2,529070.0,159410.0,-0.149233,51.319164,1,2,1,20.0,2032.0,0.0,0,1,1,0,21,5,0,0,5,2
1,9,18,0,0,0,0,37,7,1390.0,1,5,432319.0,263483.0,-1.527818,52.268561,23,2,1,294.0,0.0,0.0,0,2,1,0,28,6,0,0,9,3
1,11,4,0,0,0,0,29,6,4760.0,2,2,530080.0,180420.0,-0.127047,51.507747,1,1,1,1.0,4.0,4.0,0,1,1,1,73,10,0,0,11,8
1,9,18,0,4,11,0,42,7,1998.0,1,6,173944.0,34298.0,-5.166673,50.165515,50,2,1,596.0,394.0,0.0,1,1,1,0,42,7,0,0,9,4
1,9,18,0,0,10,0,61,9,1389.0,1,17,604962.0,238827.0,0.985078,52.010013,37,2,1,410.0,1070.0,0.0,1,1,1,1,61,9,0,0,9,9
1,19,4,0,0,0,0,65,9,2198.0,2,8,392689.0,315723.0,-2.1097240000000004,52.739086,21,3,2,254.0,449.0,0.0,1,2,1,0,38,7,0,0,9,3
3,9,3,0,0,0,0,43,7,1998.0,1,9,409226.0,295499.0,-1.865349,52.557253,20,4,6,300.0,0.0,0.0,0,3,7,1,15,3,0,0,9,10
1,9,18,0,0,0,0,20,4,1149.0,1,12,297185.0,97251.0,-3.45926,50.765708,50,2,2,580.0,5.0,0.0,1,2,2,1,32,6,0,0,9,8
1,9,18,0,0,0,0,35,6,1686.0,2,8,443852.0,400551.0,-1.340393,53.499836,14,3,1,213.0,633.0,0.0,0,1,1,1,35,6,0,0,9,9
2,9,18,0,0,0,0,53,8,2401.0,2,11,433580.0,435853.0,-1.491435,53.817878,13,2,7,204.0,0.0,0.0,0,1,2,1,34,6,0,0,9,1
1,9,18,0,0,0,0,80,11,1591.0,1,2,451830.0,367420.0,-1.225549,53.201337,30,2,1,321.0,0.0,6407.0,0,2,1,1,17,4,0,0,9,5
2,21,18,0,0,0,0,29,6,15607.0,2,12,421558.0,321457.0,-1.6817650000000002,52.790257,21,2,1,251.0,478.0,0.0,1,1,1,0,43,7,0,0,9,2
3,9,3,0,0,0,0,39,7,1299.0,1,12,408820.0,290130.0,-1.871478,52.508993,20,4,3,300.0,38.0,0.0,0,2,1,0,25,5,0,0,9,8
2,9,6,0,10,2,0,58,9,1998.0,1,17,509650.0,181810.0,-0.420863,51.52457,1,2,3,26.0,0.0,0.0,0,1,1,0,24,5,0,0,5,5
2,9,18,0,0,0,0,36,7,1597.0,1,7,631465.0,263652.0,1.387432,52.222405,37,2,2,415.0,1119.0,233.0,1,2,2,1,36,7,0,0,9,6
2,9,3,0,0,0,0,20,4,1149.0,1,12,624714.0,245208.0,1.276586,52.059651,37,2,1,415.0,0.0,12.0,0,2,1,1,20,4,0,0,9,9
1,9,4,0,0,0,0,46,8,1997.0,2,10,436244.0,395569.0,-1.455652,53.455635,14,2,2,215.0,629.0,6087.0,1,2,2,0,46,8,0,0,9,5
2,3,18,0,0,0,0,22,5,125.0,1,1,394720.0,296590.0,-2.079329,52.56711,20,2,2,309.0,0.0,0.0,0,2,1,0,22,5,0,0,3,1
1,9,18,0,0,0,0,55,8,1398.0,1,3,389288.0,300961.0,-2.159611,52.606324,20,2,4,309.0,0.0,0.0,0,2,1,1,23,5,0,0,9,8
1,9,18,0,0,9,0,21,5,1398.0,2,6,531080.0,288060.0,-0.07153,52.474739,35,1,3,393.0,1096.0,0.0,1,1,2,1,35,6,0,0,9,2
3,9,3,0,0,0,0,53,8,1781.0,1,11,435709.0,386783.0,-1.4647,53.376702,14,3,3,215.0,61.0,0.0,0,3,1,0,53,8,0,0,9,10
1,9,18,0,0,0,0,64,9,1560.0,2,6,491781.0,272652.0,-0.654142,52.344273,34,2,3,386.0,6.0,0.0,1,2,2,0,71,10,0,0,9,4
2,9,3,0,0,0,0,24,5,1995.0,2,1,528020.0,196490.0,-0.15086,51.652633,1,3,2,32.0,111.0,0.0,1,1,1,1,60,9,0,0,9,7
1,9,3,0,0,0,0,29,6,1896.0,2,12,512994.0,309897.0,-0.330241,52.675006,32,2,1,355.0,15.0,1166.0,1,2,1,1,66,10,0,0,9,9
2,9,3,0,0,0,0,25,5,1995.0,2,6,355910.0,425210.0,-2.6696310000000003,53.721423,4,3,2,83.0,6.0,0.0,0,3,1,1,40,7,0,0,9,10
1,9,18,0,0,0,0,55,8,1197.0,1,2,482969.0,239025.0,-0.7916850000000001,52.043423,43,2,2,479.0,5.0,0.0,1,2,2,0,35,6,0,0,9,9
1,9,18,0,0,0,0,40,7,1896.0,2,7,547720.0,187220.0,0.129804,51.564515,1,2,2,16.0,0.0,0.0,0,1,1,0,40,7,0,0,9,3
1,9,13,0,0,0,0,26,6,1198.0,1,4,637081.0,285132.0,1.484616,52.412773,37,2,2,416.0,144.0,0.0,1,2,2,0,36,7,0,0,9,4
1,9,18,0,0,0,0,51,8,1998.0,2,5,388570.0,289240.0,-2.1698060000000003,52.500939,20,2,4,303.0,491.0,0.0,0,1,4,0,51,8,0,0,9,8
1,9,18,0,10,10,0,40,7,1124.0,1,14,404190.0,266740.0,-1.93998,52.29877000000001,22,2,2,274.0,0.0,0.0,0,1,1,0,40,7,0,0,9,1
2,9,6,0,0,0,0,70,10,1197.0,1,2,527760.0,176500.0,-0.161875,51.473047,1,2,1,10.0,3205.0,0.0,0,1,1,0,35,6,0,0,5,9
2,9,18,0,0,0,0,28,6,1995.0,2,11,532129.0,342355.0,-0.034282,52.96229200000001,32,3,7,350.0,1397.0,0.0,0,2,1,1,28,6,0,0,9,4
1,9,16,0,10,10,0,36,7,1598.0,1,5,419615.0,320653.0,-1.710624,52.783103,21,1,5,251.0,58.0,0.0,1,1,2,0,13,3,0,0,9,6
3,9,3,0,0,0,0,58,9,1242.0,1,11,518330.0,295110.0,-0.256645,52.540999,35,3,3,394.0,1260.0,0.0,0,1,1,0,26,6,0,0,9,6
2,5,7,0,0,0,0,22,5,598.0,1,23,510605.0,429297.0,-0.324208,53.74831800000001,16,2,1,228.0,165.0,0.0,0,2,1,0,22,5,0,0,5,1
2,9,18,0,0,0,0,28,6,1086.0,1,7,474164.0,320138.0,-0.902088,52.773748,33,3,2,365.0,7432.0,7435.0,0,2,2,1,28,6,0,0,9,7
1,19,18,0,0,0,0,31,6,2461.0,2,5,534320.0,196760.0,-0.05974500000000001,51.65359,1,3,5,32.0,10.0,0.0,0,2,4,1,19,4,0,0,9,3
2,9,18,0,0,0,0,55,8,1368.0,1,6,494896.0,427875.0,-0.562774,53.738634,16,2,2,231.0,63.0,0.0,1,1,1,0,33,6,0,0,9,9
1,9,18,0,0,0,0,21,5,1229.0,1,8,507136.0,427567.0,-0.377389,53.733499,16,2,1,228.0,1166.0,0.0,0,1,1,1,21,5,0,0,9,3
1,9,9,0,0,0,0,60,9,2143.0,2,1,527620.0,181380.0,-0.162127,51.516935,1,2,1,1.0,0.0,0.0,0,2,1,0,37,7,0,0,3,9
1,19,18,0,4,0,0,53,8,1753.0,2,2,349650.0,430320.0,-2.7653220000000003,53.76678,4,2,2,79.0,5085.0,0.0,0,2,2,0,39,7,0,0,11,1
2,9,18,0,0,0,0,24,5,1896.0,2,13,600045.0,226115.0,0.90614,51.897662,42,2,2,455.0,133.0,0.0,0,1,2,1,18,4,0,0,9,6
2,9,9,0,0,0,0,21,5,1149.0,1,12,552130.0,182770.0,0.191457,51.523361,1,2,2,15.0,125.0,0.0,0,1,1,1,12,3,0,0,9,2
1,9,17,0,0,0,0,20,4,1390.0,1,9,333530.0,260750.0,-2.974874,52.240906,22,2,4,285.0,4355.0,0.0,1,2,3,1,83,11,0,0,9,4
1,9,18,0,0,0,0,31,6,1388.0,1,7,387240.0,438940.0,-2.195427,53.846541,4,3,6,77.0,682.0,0.0,0,2,4,1,29,6,0,0,9,3
2,9,8,0,0,0,0,18,4,1386.0,1,11,407760.0,285070.0,-1.887212,52.46352,20,2,2,300.0,4540.0,435.0,0,2,2,1,41,7,0,0,9,1
2,9,16,0,0,0,0,61,9,1995.0,2,1,484173.0,381049.0,-0.737869,53.319687,32,3,6,356.0,156.0,0.0,1,1,6,1,5,1,0,0,9,2
2,9,10,0,0,0,0,30,6,1339.0,1,9,414492.0,432754.0,-1.7815029999999998,53.790902,13,3,5,200.0,0.0,6177.0,0,1,1,1,26,6,0,0,9,1
1,9,5,0,0,0,0,44,7,1956.0,2,3,624737.0,315659.0,1.324108,52.69195300000001,36,1,1,401.0,0.0,0.0,1,1,1,0,36,7,9,5,0,8
1,9,18,0,0,0,0,54,8,1591.0,1,6,391530.0,299470.0,-2.126467,52.59296,20,1,1,309.0,459.0,0.0,0,1,1,1,23,5,5,3,0,2
1,9,18,0,0,0,0,42,7,1910.0,2,8,528028.0,213259.0,-0.144585,51.803324,41,2,3,432.0,1000.0,51.0,1,1,1,0,42,7,0,0,9,4
1,9,6,0,0,0,0,24,5,1198.0,1,1,512924.0,474804.0,-0.27224,54.15664200000001,12,3,3,186.0,165.0,0.0,1,3,3,0,50,8,0,0,3,1
2,9,4,0,0,0,0,30,6,2000.0,2,4,538070.0,181020.0,-0.011756,51.511245,1,3,1,5.0,13.0,0.0,0,3,1,0,30,6,0,0,9,6
1,9,18,0,0,0,0,52,8,1360.0,1,8,359451.0,176608.0,-2.585382,51.48695900000001,52,2,2,601.0,38.0,0.0,0,1,2,1,19,4,0,0,9,7
2,9,3,0,0,0,0,31,6,1596.0,1,6,385560.0,252690.0,-2.2125630000000003,52.172279,22,3,1,276.0,38.0,0.0,0,1,1,0,85,11,0,0,9,7
2,9,18,0,0,0,0,44,7,1596.0,1,13,425898.0,563720.0,-1.597015,54.967436,10,2,1,146.0,6032.0,0.0,0,2,1,0,44,7,0,0,9,5
1,3,18,0,0,0,0,28,6,124.0,1,1,287159.0,61864.0,-3.590606,50.445736,50,1,1,587.0,0.0,0.0,0,1,1,0,28,6,0,0,3,4
1,9,18,0,0,0,0,71,10,2799.0,1,15,557489.0,238346.0,0.293821,52.021183,42,3,2,463.0,1053.0,0.0,1,2,2,0,21,5,0,0,9,8
3,9,4,0,0,0,0,88,11,1240.0,1,11,525680.0,191280.0,-0.186535,51.606339,1,4,1,30.0,598.0,0.0,0,3,1,1,88,11,0,0,9,6
1,5,4,0,0,0,0,56,9,1441.0,1,1,298570.0,516080.0,-3.568878,54.529807,3,2,1,63.0,595.0,0.0,0,1,1,0,56,9,0,0,5,2
2,9,4,0,0,0,0,62,9,1995.0,2,11,370777.0,119397.0,-2.417585,50.973239,52,2,2,610.0,30.0,0.0,1,1,2,1,45,7,0,0,9,6
1,9,15,0,0,0,0,80,11,1753.0,2,11,599089.0,314202.0,0.944282,52.6889,36,2,1,400.0,0.0,0.0,0,1,1,1,80,11,0,0,9,7
1,9,18,0,0,0,0,20,4,1598.0,1,12,513370.0,184630.0,-0.366358,51.549181,1,2,1,27.0,312.0,0.0,0,2,1,1,63,9,0,0,9,8
3,9,4,0,0,0,0,40,7,1590.0,1,3,366444.0,387091.0,-2.5058990000000003,53.379596,7,3,2,128.0,6.0,0.0,1,2,1,0,50,8,0,0,9,10
1,9,16,0,0,2,0,21,5,1781.0,1,25,437750.0,351930.0,-1.438135,53.063288,30,1,1,320.0,6013.0,6016.0,1,1,1,0,21,5,0,0,9,5
2,9,18,0,0,0,0,68,10,1686.0,2,2,442226.0,398114.0,-1.365231,53.478065,14,2,1,213.0,6089.0,6090.0,1,1,1,0,81,11,0,0,9,4
1,9,18,0,0,0,0,34,6,1390.0,1,5,421647.0,505347.0,-1.6677240000000002,54.443072,12,3,2,184.0,1.0,1.0,1,1,1,1,34,6,0,0,9,2
2,9,18,0,0,0,0,36,7,1248.0,1,1,298380.0,520710.0,-3.573413,54.571362,3,2,1,63.0,595.0,0.0,1,2,1,1,36,7,0,0,9,2
2,9,18,0,0,0,0,60,9,1399.0,2,7,434845.0,492121.0,-1.465772,54.32348399999999,12,2,1,181.0,684.0,10.0,1,1,1,0,82,11,0,0,9,6
1,9,2,0,0,0,0,45,7,2143.0,2,2,537660.0,187980.0,-0.01494,51.573887,1,2,1,13.0,104.0,0.0,0,2,1,1,30,6,0,0,1,3
4,9,9,0,0,0,0,48,8,1248.0,2,5,337617.0,397281.0,-2.941216,53.468553,5,4,7,91.0,0.0,506.0,0,2,1,0,32,6,0,0,9,2
2,8,18,0,0,0,0,70,10,2184.0,2,11,420500.0,93401.0,-1.710846,50.739861,55,2,2,641.0,337.0,170.0,0,2,2,1,84,11,0,0,8,9
1,5,4,0,0,0,0,52,8,883.0,1,8,485460.0,162937.0,-0.773998,51.359085,43,1,1,470.0,3095.0,7005.0,1,1,1,1,52,8,0,0,5,10
1,9,17,0,0,0,0,23,5,1388.0,1,11,476510.0,199681.0,-0.894543,51.690679,43,1,1,484.0,165.0,0.0,1,1,1,1,23,5,0,0,9,8
1,9,18,0,0,0,0,34,6,2996.0,1,10,511770.0,182690.0,-0.390039,51.532064,1,2,1,27.0,312.0,0.0,0,2,1,1,54,8,0,0,9,4
2,9,3,0,0,0,0,18,4,1461.0,2,12,394590.0,301560.0,-2.08133,52.611788,20,2,1,309.0,0.0,0.0,0,1,1,0,21,5,0,0,2,2
1,9,4,0,0,0,0,29,6,1956.0,2,6,422090.0,316860.0,-1.674184,52.748911,30,2,1,328.0,181.0,0.0,1,1,1,1,29,6,0,0,9,6
2,9,18,0,0,0,0,24,5,1229.0,1,3,541940.0,191540.0,0.048218,51.604815,1,2,1,14.0,113.0,0.0,0,2,1,1,24,5,0,0,9,6
1,9,15,0,0,0,0,59,9,995.0,1,10,582183.0,230401.0,0.649105,51.942277,42,1,1,451.0,1124.0,0.0,0,1,1,1,14,3,5,2,0,5
1,9,9,0,0,0,0,35,6,1368.0,1,11,358625.0,177758.0,-2.597413,51.497238,52,2,1,601.0,4056.0,0.0,0,2,1,1,26,6,0,0,1,7
1,9,18,0,0,0,0,22,5,1968.0,2,7,461795.0,303567.0,-1.088516,52.626355,33,3,2,364.0,2625.0,6030.0,0,1,1,0,22,5,0,0,9,1
2,19,18,0,0,0,0,26,6,2198.0,2,1,410535.0,310046.0,-1.845582,52.688003,21,2,1,252.0,51.0,136.0,1,2,1,0,26,6,0,0,19,9
1,8,18,0,0,0,0,60,9,1968.0,2,9,440330.0,355200.0,-1.399229,53.09249300000001,30,1,1,320.0,615.0,0.0,1,1,1,0,20,4,9,7,0,7
2,9,16,0,0,0,0,70,10,2171.0,1,11,306600.0,532150.0,-3.449962,54.675724,3,2,2,60.0,0.0,0.0,1,2,2,1,70,10,0,0,9,1
4,9,4,0,0,0,0,46,8,1242.0,1,11,330404.0,150475.0,-2.998541,51.249181,52,4,2,607.0,0.0,0.0,0,3,2,1,43,7,0,0,9,2
1,19,9,0,0,0,0,51,8,1995.0,2,8,335663.0,387056.0,-2.968555,53.376423,5,2,1,91.0,0.0,0.0,0,2,1,1,68,10,0,0,9,9
2,9,18,0,0,0,0,22,5,2495.0,2,9,384960.0,246070.0,-2.221041,52.112746,22,2,1,273.0,38.0,0.0,1,1,1,1,85,11,0,0,9,7
4,9,18,0,0,0,0,27,6,996.0,1,3,519950.0,166160.0,-0.277766,51.381824,1,4,1,23.0,3.0,0.0,0,3,1,0,24,5,0,0,9,6
2,19,18,0,0,0,0,36,7,2148.0,2,9,413900.0,435356.0,-1.790373,53.814305,13,2,4,200.0,0.0,0.0,0,2,3,0,17,4,0,0,19,3
1,9,18,0,0,0,0,69,10,796.0,1,10,289541.0,62085.0,-3.557136,50.448176,50,2,1,587.0,3022.0,0.0,0,2,1,1,61,9,0,0,9,3
1,9,17,0,0,0,0,37,7,1339.0,1,4,412751.0,311297.0,-1.812751,52.699202,21,2,5,252.0,200.0,0.0,1,2,2,1,21,5,0,0,9,4
